STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-767 	 -110 	 -170 	39.235 	 -30.065 	 -24.605 	
-780 	 -119 	 -164 	34.23 	 -22.75 	 -16.94 	
-779 	 -104 	 -159 	29.505 	 -16.205 	 -7.595 	
-795 	 -117 	 -156 	24.43 	 -10.115 	 3.08 	
-826 	 -132 	 -159 	19.915 	 -4.62 	 14.945 	
-850 	 -181 	 -134 	15.4 	 0.315 	 24.99 	
-856 	 -230 	 -129 	10.71 	 4.2 	 29.085 	
-903 	 -246 	 -120 	6.58 	 8.05 	 28.595 	
-923 	 -270 	 -125 	2.555 	 10.43 	 28.21 	
-942 	 -261 	 -137 	-0.98 	 12.32 	 29.47 	
-951 	 -258 	 -142 	-4.62 	 13.44 	 32.13 	
-970 	 -247 	 -149 	-8.12 	 13.685 	 35.35 	
-991 	 -233 	 -156 	-11.725 	 13.265 	 39.235 	
-1021 	 -244 	 -162 	-15.365 	 12.425 	 43.68 	
-1021 	 -254 	 -176 	-18.62 	 10.99 	 46.2 	
-1013 	 -287 	 -184 	-21.77 	 10.465 	 45.535 	
-1012 	 -312 	 -158 	-24.605 	 10.045 	 42.665 	
-971 	 -313 	 -173 	-26.53 	 9.59 	 39.62 	
-979 	 -307 	 -167 	-27.93 	 10.885 	 37.24 	
-963 	 -289 	 -174 	-28.945 	 11.76 	 36.015 	
-973 	 -273 	 -184 	-29.645 	 13.265 	 37.345 	
-983 	 -260 	 -186 	-30.135 	 14.56 	 40.25 	
-994 	 -245 	 -193 	-30.555 	 15.645 	 42.175 	
-1004 	 -249 	 -204 	-31.185 	 16.695 	 42.49 	
-1015 	 -255 	 -206 	-31.64 	 17.5 	 41.3 	
-1026 	 -256 	 -214 	-32.13 	 18.375 	 38.71 	
-1017 	 -269 	 -228 	-32.34 	 19.11 	 35.07 	
-999 	 -250 	 -245 	-32.305 	 20.3 	 30.905 	
-1022 	 -245 	 -240 	-32.27 	 21.7 	 28.455 	
-1045 	 -209 	 -248 	-31.64 	 22.89 	 28.63 	
-1053 	 -226 	 -257 	-31.15 	 24.045 	 32.13 	
-1059 	 -215 	 -265 	-30.135 	 25.2 	 35.42 	
-1052 	 -232 	 -277 	-29.19 	 26.495 	 36.575 	
-1040 	 -225 	 -279 	-27.86 	 27.965 	 34.405 	
-1007 	 -213 	 -305 	-26.39 	 29.365 	 31.395 	
-1018 	 -205 	 -313 	-24.395 	 31.36 	 31.045 	
-1033 	 -191 	 -299 	-21.63 	 33.04 	 34.125 	
-1034 	 -193 	 -312 	-18.62 	 33.95 	 39.585 	
-1050 	 -200 	 -319 	-15.33 	 34.965 	 44.66 	
-1058 	 -206 	 -326 	-11.97 	 35.245 	 46.2 	
-1068 	 -220 	 -329 	-8.96 	 35.175 	 42.7 	
