STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-1201 	 -273 	 428 	 44.835 	 -42.77 	 69.51 	
-1198 	 -451 	 494 	 49.07 	 -49.35 	 60.34 	
-1223 	 -445 	 488 	 53.69 	 -56.56 	 36.54 	
-1315 	 -401 	 699 	 55.23 	 -62.965 	 4.375 	
-1310 	 -732 	 879 	 48.79 	 -75.32 	 -18.515 	
-1247 	 -341 	 927 	 41.02 	 -91.385 	 -46.97 	
-677 	 326 	 1180 	 17.78 	 -108.15 	 -89.425 	
5 	 40 	 1745 	 -25.375 	 -117.005 	 -110.67 	
779 	 -80 	 2751 	 -72.345 	 -121.065 	 -79.31 	
545 	 338 	 3487 	 -132.86 	 -129.395 	 27.755 	
-470 	 561 	 3628 	 -213.22 	 -153.685 	 174.79 	
-1739 	 590 	 2817 	 -315.595 	 -192.115 	 274.925 	
-2681 	 508 	 1902 	 -427.28 	 -226.905 	 287.245 	
-3124 	 832 	 567 	 -535.22 	 -271.215 	 221.725 	
-3291 	 1067 	 -27 	 -632.52 	 -282.73 	 147.28 	
-2551 	 1061 	 -914 	 -703.815 	 -301.385 	 69.055 	
-1578 	 699 	 -859 	 -735.105 	 -281.365 	 -17.99 	
-413 	 514 	 -582 	 -727.125 	 -250.145 	 -101.535 	
866 	 540 	 -376 	 -686.49 	 -194.915 	 -130.27 	
1536 	 779 	 -316 	 -624.085 	 -102.585 	 -82.915 	
1892 	 1049 	 -481 	 -556.045 	 10.5 	 22.015 	
1557 	 1319 	 -790 	 -482.79 	 138.46 	 166.005 	
395 	 1104 	 -869 	 -411.6 	 266.735 	 324.485 	
-524 	 437 	 -930 	 -341.145 	 365.61 	 417.83 	
-1337 	 276 	 -970 	 -275.03 	 431.9 	 387.765 	
-2050 	 405 	 -936 	 -226.625 	 461.265 	 301.0 	
-2334 	 706 	 -920 	 -197.015 	 456.785 	 225.785 	
-2289 	 766 	 -744 	 -183.085 	 432.6 	 180.39 	
-1927 	 900 	 -613 	 -173.74 	 393.015 	 161.735 	
-1728 	 678 	 -409 	 -169.33 	 353.78 	 182.805 	
-1529 	 363 	 -209 	 -160.23 	 313.46 	 220.43 	
-1386 	 -97 	 -94 	 -147.77 	 275.765 	 249.41 	
-1320 	 -541 	 3 	 -130.69 	 241.71 	 260.295 	
-1270 	 -878 	 16 	 -111.895 	 209.895 	 246.995 	
-1313 	 -1115 	 54 	 -92.925 	 181.615 	 205.415 	
-1277 	 -1134 	 14 	 -74.48 	 151.76 	 139.09 	
-1269 	 -1043 	 8 	 -58.38 	 125.265 	 72.205 	
-1159 	 -877 	 -28 	 -43.085 	 99.575 	 21.735 	
-1052 	 -669 	 -51 	 -28.98 	 77.735 	 -7.385 	
-942 	 -517 	 -80 	 -16.415 	 59.22 	 -19.565 	
-876 	 -325 	 -117 	 -5.775 	 44.1 	 -25.865 	
-834 	 -211 	 -148 	 0.77 	 31.36 	 -32.025 	
-810 	 -62 	 -209 	 5.25 	 21.105 	 -40.81 	
-810 	 64 	 -226 	 6.825 	 13.265 	 -45.395 	
-786 	 117 	 -251 	 6.545 	 6.195 	 -42.63 	
-803 	 137 	 -262 	 5.81 	 1.225 	 -36.26 	
