STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-255 	 440 	 -882 	23.59 	 -8.015 	 3.29 	
-267 	 426 	 -856 	24.15 	 -8.155 	 1.225 	
-261 	 416 	 -842 	24.57 	 -8.785 	 -1.995 	
-273 	 429 	 -837 	25.025 	 -9.135 	 -5.39 	
-274 	 442 	 -834 	25.095 	 -9.59 	 -7.21 	
-279 	 460 	 -843 	25.06 	 -10.01 	 -7.35 	
-277 	 476 	 -845 	24.78 	 -10.22 	 -6.615 	
-275 	 464 	 -834 	24.01 	 -10.325 	 -5.985 	
-260 	 437 	 -831 	23.135 	 -10.29 	 -6.825 	
-256 	 415 	 -822 	22.225 	 -9.94 	 -9.1 	
-246 	 398 	 -813 	21.455 	 -9.45 	 -11.62 	
-243 	 385 	 -803 	20.58 	 -8.75 	 -13.125 	
-240 	 369 	 -799 	19.775 	 -7.98 	 -12.95 	
-239 	 362 	 -794 	19.075 	 -7.035 	 -11.235 	
-229 	 353 	 -792 	18.2 	 -6.055 	 -8.365 	
-221 	 343 	 -783 	17.22 	 -4.9 	 -5.25 	
-210 	 336 	 -780 	16.17 	 -3.605 	 -2.485 	
-208 	 323 	 -773 	14.77 	 -2.03 	 -0.385 	
-204 	 310 	 -767 	13.3 	 -0.49 	 0.945 	
-205 	 303 	 -762 	11.69 	 1.05 	 1.33 	
-213 	 297 	 -765 	9.94 	 2.52 	 1.365 	
-227 	 306 	 -766 	8.05 	 3.92 	 1.435 	
-235 	 330 	 -778 	6.125 	 4.935 	 1.925 	
-248 	 345 	 -784 	3.885 	 5.985 	 2.66 	
-249 	 347 	 -787 	1.575 	 6.58 	 2.625 	
-241 	 345 	 -791 	-0.805 	 7 	 1.12 	
-239 	 342 	 -795 	-3.15 	 7.385 	 -1.33 	
-236 	 352 	 -797 	-5.11 	 7.63 	 -3.395 	
-234 	 353 	 -799 	-7 	 7.735 	 -4.13 	
-221 	 352 	 -808 	-8.505 	 7.7 	 -3.885 	
-213 	 350 	 -814 	-9.66 	 7.735 	 -3.57 	
-200 	 345 	 -824 	-10.78 	 7.665 	 -3.99 	
-193 	 338 	 -831 	-11.585 	 7.63 	 -5.39 	
-192 	 341 	 -839 	-12.18 	 7.595 	 -7.28 	
-200 	 354 	 -851 	-12.39 	 7.28 	 -8.33 	
-202 	 352 	 -856 	-12.32 	 6.93 	 -8.12 	
-198 	 349 	 -861 	-12.18 	 6.51 	 -7.315 	
-191 	 349 	 -870 	-11.55 	 5.88 	 -6.405 	
-187 	 341 	 -880 	-10.745 	 5.495 	 -5.39 	
-187 	 343 	 -880 	-9.695 	 5.145 	 -4.41 	
-181 	 338 	 -889 	-8.715 	 4.865 	 -3.36 	
-181 	 343 	 -899 	-7.42 	 4.69 	 -2.555 	
-183 	 344 	 -902 	-6.23 	 4.62 	 -1.75 	
-188 	 352 	 -906 	-5.11 	 4.585 	 -0.7 	
-192 	 360 	 -909 	-3.99 	 4.585 	 0.7 	
-195 	 369 	 -913 	-3.08 	 4.48 	 1.995 	
-193 	 373 	 -923 	-2.415 	 4.48 	 2.8 	
-195 	 373 	 -924 	-1.96 	 4.55 	 2.73 	
-194 	 380 	 -928 	-1.68 	 4.62 	 2.03 	
-199 	 388 	 -930 	-1.4 	 4.69 	 1.26 	
-202 	 389 	 -926 	-1.225 	 4.62 	 0.84 	
-206 	 388 	 -928 	-1.05 	 4.515 	 0.77 	
-216 	 395 	 -931 	-0.805 	 4.34 	 0.98 	
-225 	 395 	 -930 	-0.735 	 4.095 	 1.715 	
-231 	 395 	 -928 	-0.56 	 3.675 	 2.485 	
-227 	 390 	 -929 	-0.525 	 3.22 	 2.765 	
-226 	 388 	 -930 	-0.455 	 2.8 	 2.24 	
-226 	 384 	 -930 	-0.385 	 2.38 	 1.26 	
-229 	 382 	 -926 	-0.14 	 1.89 	 0.385 	
-229 	 377 	 -923 	0.07 	 1.435 	 -0.315 	
-227 	 373 	 -920 	0.455 	 1.015 	 -0.735 	
-231 	 379 	 -916 	0.875 	 0.665 	 -0.875 	
-228 	 376 	 -920 	1.4 	 0.14 	 -0.455 	
-222 	 372 	 -917 	1.925 	 -0.14 	 -0.105 	
-215 	 366 	 -913 	2.31 	 -0.35 	 0.07 	
-209 	 365 	 -914 	2.765 	 -0.42 	 0.21 	
-209 	 364 	 -911 	3.22 	 -0.42 	 0.735 	
-207 	 365 	 -910 	3.5 	 -0.35 	 1.365 	
-211 	 373 	 -914 	3.57 	 -0.245 	 1.995 	
-214 	 380 	 -920 	3.57 	 -0.175 	 2.8 	
-225 	 393 	 -920 	3.36 	 -0.07 	 3.71 	
-227 	 388 	 -922 	2.905 	 -0.175 	 4.375 	
-229 	 384 	 -919 	2.275 	 -0.21 	 4.025 	
-227 	 378 	 -915 	1.68 	 -0.315 	 2.835 	
-220 	 376 	 -912 	1.085 	 -0.35 	 1.33 	
-220 	 376 	 -905 	0.63 	 -0.42 	 0.175 	
-219 	 376 	 -901 	0.245 	 -0.595 	 -0.175 	
-222 	 378 	 -903 	0.14 	 -0.84 	 0.21 	
-222 	 373 	 -902 	0.035 	 -1.05 	 0.91 	
-223 	 365 	 -898 	0.07 	 -1.4 	 1.575 	
-223 	 366 	 -897 	0.21 	 -1.715 	 2.065 	
-221 	 361 	 -897 	0.42 	 -2.065 	 2.66 	
-224 	 370 	 -897 	0.7 	 -2.205 	 3.15 	
-228 	 372 	 -898 	0.91 	 -2.485 	 3.465 	
-230 	 372 	 -898 	0.91 	 -2.695 	 2.94 	
-240 	 377 	 -903 	0.98 	 -2.87 	 1.47 	
-246 	 377 	 -906 	0.84 	 -3.08 	 -0.35 	
-253 	 384 	 -907 	0.735 	 -3.29 	 -1.89 	
-254 	 388 	 -911 	0.595 	 -3.535 	 -2.66 	
-250 	 386 	 -907 	0.525 	 -3.71 	 -2.38 	
-239 	 381 	 -907 	0.525 	 -3.815 	 -1.785 	
-234 	 378 	 -913 	0.525 	 -3.675 	 -1.295 	
-231 	 378 	 -917 	0.63 	 -3.535 	 -1.505 	
-227 	 371 	 -917 	0.665 	 -3.325 	 -2.45 	
-230 	 369 	 -916 	0.7 	 -3.045 	 -3.99 	
-241 	 376 	 -915 	0.805 	 -2.905 	 -4.795 	
-248 	 381 	 -913 	1.19 	 -3.045 	 -4.2 	
-253 	 382 	 -909 	1.47 	 -3.185 	 -2.835 	
-257 	 380 	 -909 	1.75 	 -3.535 	 -1.68 	
-258 	 378 	 -908 	1.855 	 -3.92 	 -1.4 	
-251 	 367 	 -903 	1.89 	 -4.34 	 -2.625 	
-244 	 352 	 -900 	1.89 	 -4.69 	 -5.46 	
-242 	 350 	 -897 	2.135 	 -4.97 	 -9.065 	
-237 	 345 	 -891 	2.38 	 -5.215 	 -12.075 	
-227 	 337 	 -892 	2.905 	 -5.495 	 -14.07 	
-223 	 330 	 -885 	3.675 	 -5.39 	 -15.015 	
-219 	 322 	 -875 	4.62 	 -5.285 	 -15.26 	
-212 	 300 	 -875 	5.67 	 -5.145 	 -15.645 	
-205 	 266 	 -871 	6.895 	 -4.48 	 -17.29 	
-188 	 235 	 -869 	8.505 	 -3.745 	 -20.72 	
-174 	 193 	 -862 	10.57 	 -2.52 	 -26.145 	
-141 	 115 	 -848 	12.915 	 -0.63 	 -34.02 	
-94 	 61 	 -840 	16.275 	 2.065 	 -44.1 	
-32 	 0 	 -836 	20.51 	 5.81 	 -54.39 	
40 	 -74 	 -832 	25.69 	 11.13 	 -64.015 	
156 	 -130 	 -799 	31.85 	 18.34 	 -74.515 	
292 	 -203 	 -804 	39.025 	 27.825 	 -84.35 	
411 	 -308 	 -793 	47.39 	 39.83 	 -92.575 	
593 	 -459 	 -760 	56.91 	 54.88 	 -100.555 	
800 	 -608 	 -761 	67.69 	 73.15 	 -109.13 	
1044 	 -729 	 -793 	80.15 	 95.165 	 -115.29 	
1297 	 -735 	 -794 	93.87 	 122.01 	 -115.92 	
1534 	 -769 	 -843 	107.1 	 152.495 	 -103.04 	
1806 	 -790 	 -903 	120.785 	 186.41 	 -74.095 	
2104 	 -784 	 -977 	135.205 	 224.245 	 -27.09 	
2348 	 -756 	 -1007 	150.71 	 264.915 	 37.835 	
2635 	 -822 	 -1057 	166.74 	 306.18 	 113.05 	
2877 	 -752 	 -1083 	183.155 	 349.615 	 184.485 	
3127 	 -488 	 -1102 	195.195 	 393.295 	 252.735 	
3243 	 -142 	 -1213 	200.06 	 438.305 	 329.7 	
3266 	 488 	 -1397 	192.535 	 484.4 	 419.02 	
3086 	 1261 	 -1778 	167.685 	 530.005 	 516.04 	
2887 	 1980 	 -2237 	123.48 	 579.705 	 598.22 	
2702 	 2531 	 -2633 	60.76 	 635.67 	 622.125 	
2197 	 2789 	 -2768 	-24.745 	 695.135 	 591.08 	
1455 	 3009 	 -2756 	-118.195 	 752.465 	 550.165 	
822 	 2841 	 -2624 	-208.25 	 792.75 	 520.765 	
380 	 2204 	 -2344 	-294.28 	 809.48 	 471.485 	
-355 	 1669 	 -1763 	-367.465 	 798.77 	 375.165 	
-741 	 1037 	 -880 	-440.195 	 747.635 	 242.9 	
-1226 	 717 	 -275 	-505.89 	 659.995 	 127.925 	
-1243 	 459 	 320 	-537.495 	 534.975 	 81.165 	
-539 	 259 	 626 	-550.9 	 389.235 	 52.64 	
-353 	 122 	 631 	-552.37 	 246.4 	 -3.15 	
303 	 640 	 146 	-542.465 	 103.985 	 -82.985 	
706 	 1007 	 -309 	-528.885 	 -9.38 	 -139.195 	
