STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
162 	 -1064 	 237 	 208.32 	 -11.97 	 1.155 	
37 	 -1177 	 735 	 212.275 	 -9.73 	 20.475 	
-86 	 -1173 	 1443 	 212.905 	 -4.48 	 31.5 	
-66 	 -1572 	 2224 	 202.755 	 7.035 	 33.285 	
137 	 -1314 	 2867 	 179.41 	 15.645 	 -8.295 	
14 	 -724 	 3646 	 129.395 	 18.41 	 -71.225 	
46 	 773 	 3861 	 52.5 	 -5.285 	 -128.415 	
141 	 2370 	 3382 	 -59.57 	 -35.665 	 -122.29 	
357 	 3859 	 2226 	 -209.405 	 -66.01 	 -22.19 	
168 	 4490 	 1057 	 -396.76 	 -60.655 	 150.92 	
188 	 4888 	 -1168 	 -589.61 	 -57.785 	 283.78 	
105 	 4752 	 -3381 	 -781.06 	 -34.72 	 342.16 	
-554 	 4747 	 -5526 	 -945.035 	 -1.365 	 370.545 	
-1096 	 4048 	 -7534 	 -1069.63 	 34.615 	 422.415 	
-1002 	 2102 	 -7763 	 -1137.78 	 81.095 	 474.495 	
-390 	 52 	 -5909 	 -1125.81 	 132.615 	 469.035 	
-666 	 -1182 	 -3731 	 -1049.37 	 171.71 	 373.275 	
-1632 	 -2425 	 -1712 	 -935.095 	 178.605 	 268.66 	
-1883 	 -2665 	 -728 	 -772.31 	 134.89 	 210.175 	
-1865 	 -2999 	 -397 	 -570.78 	 81.795 	 249.095 	
-1736 	 -2479 	 218 	 -356.44 	 44.03 	 271.46 	
-1482 	 -2084 	 428 	 -191.065 	 -11.515 	 175.665 	
-778 	 -1385 	 -5 	 -48.335 	 -75.39 	 0.455 	
-563 	 193 	 -392 	 72.695 	 -116.095 	 -173.6 	
-199 	 1598 	 -1024 	 149.45 	 -131.285 	 -223.965 	
-140 	 1801 	 -1309 	 184.59 	 -123.2 	 -163.45 	
116 	 2041 	 -1641 	 197.015 	 -119.56 	 -113.26 	
112 	 2097 	 -1702 	 182.805 	 -105.315 	 -75.67 	
106 	 1974 	 -1675 	 150.255 	 -90.685 	 -56.385 	
-93 	 1887 	 -1541 	 108.36 	 -72.59 	 -41.405 	
-224 	 1657 	 -1348 	 61.95 	 -56.245 	 -11.9 	
-247 	 1300 	 -1165 	 15.75 	 -40.845 	 22.645 	
-375 	 978 	 -1014 	 -25.375 	 -25.41 	 49.21 	
-415 	 727 	 -947 	 -60.2 	 -12.495 	 63.42 	
-514 	 500 	 -903 	 -86.835 	 0.49 	 70.875 	
