STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
817 	 530 	 -617 	 -19.95 	 -25.48 	 -15.47 	
867 	 532 	 -578 	 -16.24 	 -28.0 	 -15.505 	
868 	 404 	 -549 	 -12.11 	 -29.75 	 -19.215 	
891 	 332 	 -501 	 -6.125 	 -31.465 	 -27.51 	
923 	 258 	 -470 	 1.435 	 -32.795 	 -36.925 	
891 	 240 	 -450 	 10.64 	 -34.09 	 -41.16 	
886 	 257 	 -441 	 20.335 	 -35.35 	 -36.365 	
889 	 227 	 -459 	 30.625 	 -36.96 	 -23.45 	
911 	 165 	 -458 	 40.88 	 -37.695 	 -7.0 	
932 	 103 	 -483 	 51.24 	 -37.52 	 9.24 	
925 	 84 	 -495 	 62.44 	 -36.435 	 24.045 	
931 	 7 	 -497 	 73.185 	 -34.44 	 34.965 	
959 	 -79 	 -507 	 84.56 	 -31.01 	 38.535 	
984 	 -161 	 -537 	 96.285 	 -26.11 	 35.0 	
1006 	 -207 	 -569 	 109.34 	 -20.335 	 28.35 	
998 	 -270 	 -583 	 122.64 	 -13.02 	 24.395 	
1002 	 -313 	 -637 	 136.955 	 -5.635 	 28.28 	
1035 	 -418 	 -685 	 152.495 	 2.03 	 41.755 	
1053 	 -612 	 -759 	 169.75 	 10.08 	 61.495 	
1102 	 -767 	 -784 	 190.26 	 17.85 	 81.025 	
1062 	 -997 	 -732 	 213.045 	 26.705 	 99.12 	
988 	 -1258 	 -719 	 237.685 	 35.07 	 122.325 	
979 	 -1627 	 -590 	 266.175 	 42.735 	 156.345 	
968 	 -2228 	 -329 	 296.625 	 50.575 	 198.31 	
1322 	 -3119 	 114 	 325.57 	 56.56 	 227.36 	
1450 	 -3775 	 830 	 349.37 	 67.095 	 231.735 	
1267 	 -3546 	 1711 	 356.16 	 76.825 	 243.6 	
1267 	 -2510 	 2582 	 328.79 	 89.845 	 299.11 	
1714 	 -1559 	 3136 	 252.105 	 111.335 	 390.635 	
2719 	 435 	 3089 	 134.855 	 145.81 	 457.94 	
3368 	 1718 	 2394 	 -37.24 	 219.66 	 449.295 	
3467 	 2950 	 1454 	 -226.205 	 318.92 	 365.435 	
3151 	 3390 	 540 	 -431.27 	 420.7 	 267.015 	
2755 	 3564 	 -664 	 -620.97 	 506.975 	 194.145 	
1955 	 2865 	 -1540 	 -773.465 	 550.62 	 130.445 	
1110 	 1327 	 -1148 	 -862.015 	 523.39 	 72.485 	
334 	 -307 	 227 	 -831.145 	 342.23 	 -48.265 	
676 	 572 	 -449 	 -762.79 	 140.14 	 -198.415 	
365 	 306 	 -138 	 -689.255 	 71.82 	 -180.81 	
439 	 362 	 -350 	 -580.93 	 -8.295 	 -97.685 	
717 	 486 	 -671 	 -442.4 	 -80.57 	 -5.74 	
1193 	 1022 	 -961 	 -304.255 	 -138.705 	 64.96 	
1695 	 1274 	 -1256 	 -195.51 	 -166.215 	 112.84 	
1946 	 1759 	 -1434 	 -109.83 	 -163.415 	 154.735 	
1921 	 1940 	 -1321 	 -56.245 	 -141.015 	 195.3 	
1850 	 1940 	 -1188 	 -22.015 	 -112.525 	 213.045 	
1650 	 1760 	 -924 	 -3.71 	 -81.585 	 192.99 	
1352 	 1805 	 -682 	 9.1 	 -52.64 	 171.605 	
1197 	 1458 	 -485 	 12.04 	 -25.34 	 162.015 	
1150 	 1236 	 -357 	 16.17 	 -4.9 	 133.84 	
1106 	 1058 	 -258 	 20.3 	 8.89 	 85.295 	
