STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-937 	 43 	 144 	39.9 	 0.35 	 35.1225 	
-947 	 64 	 58 	33.18 	 8.89875 	 47.2763 	
-980 	 80 	 24 	33.9063 	 22.8463 	 55.0288 	
-1054 	 138 	 -22 	41.6588 	 39.0425 	 60.5413 	
-1125 	 246 	 -104 	54.3813 	 50.1988 	 72.3363 	
-1102 	 202 	 -116 	68.0925 	 49.8663 	 93.8 	
-1118 	 402 	 -92 	83.615 	 40.04 	 71.6013 	
-1104 	 332 	 -116 	97.0113 	 17.4913 	 65.1525 	
-1103 	 345 	 -44 	106.129 	 -17.0188 	 55.4663 	
-1109 	 330 	 20 	110.819 	 -56.9538 	 8.72375 	
-1109 	 313 	 100 	107.774 	 -98.8575 	 -22.6713 	
-1085 	 161 	 256 	97.9388 	 -138.828 	 -37.31 	
-1514 	 -635 	 955 	85.5225 	 -174.073 	 -64.61 	
-56 	 313 	 1991 	47.9588 	 -195.396 	 -174.396 	
-565 	 1526 	 1217 	-115.246 	 -146.563 	 -241.518 	
-920 	 1092 	 -1394 	-277.183 	 -19.0488 	 -35.2888 	
-303 	 310 	 -1525 	-286.685 	 185.308 	 16.3275 	
-1298 	 315 	 -1234 	-281.435 	 284.918 	 132.44 	
-1677 	 203 	 -394 	-161.84 	 286.685 	 167.685 	
-778 	 -176 	 -86 	-58.3188 	 248.465 	 58.3975 	
-100 	 52 	 -433 	-43.855 	 96.1363 	 -10.5875 	
-13 	 427 	 -804 	-9.45875 	 33.3813 	 -23.2575 	
-358 	 274 	 -1049 	15.7413 	 55.195 	 44.0913 	
-446 	 78 	 -1192 	27.965 	 89.565 	 132.571 	
-523 	 147 	 -1173 	51.2663 	 119.464 	 92.2775 	
-464 	 -18 	 -1179 	75.5563 	 129.141 	 113.523 	
-439 	 102 	 -1133 	90.1338 	 115.745 	 109.401 	
-391 	 -144 	 -1048 	90.9125 	 92.5225 	 83.4225 	
-341 	 -107 	 -1020 	86.8263 	 71.0063 	 52.64 	
-264 	 -136 	 -1018 	85.4613 	 57.5488 	 11.0688 	
-245 	 -332 	 -932 	89.5475 	 45.8238 	 35.2275 	
-267 	 -310 	 -843 	99.1725 	 34.8863 	 28.0788 	
-173 	 -338 	 -814 	101.509 	 21.2713 	 15.4875 	
-68 	 -406 	 -728 	94.885 	 8.47875 	 3.36875 	
-125 	 -580 	 -764 	88.1475 	 2.24875 	 -13.9125 	
13 	 -565 	 -554 	84.6738 	 -2.93125 	 -12.915 	
-8 	 -719 	 -734 	84.1838 	 -5.43375 	 -19.7575 	
14 	 -842 	 -773 	87.675 	 -7.455 	 -21.21 	
86 	 -840 	 -648 	93.03 	 -10.0975 	 -43.75 	
215 	 -783 	 -476 	96.2325 	 -7.875 	 -93.8613 	
-127 	 -884 	 1208 	95.1125 	 0.91875 	 -125.965 	
-559 	 1964 	 1992 	70.455 	 -7.6475 	 -19.6963 	
158 	 1997 	 -1967 	-149.223 	 -96.2413 	 256.008 	
-1378 	 -667 	 -1997 	-286.248 	 -69.2563 	 267.61 	
-377 	 -112 	 -524 	-286.073 	 -4.0075 	 18.9788 	
-456 	 1262 	 -1661 	-117.556 	 -60.9088 	 -50.3825 	
-213 	 1152 	 -1402 	195.143 	 -46.0425 	 -76.6238 	
-853 	 791 	 -979 	166.513 	 -3.955 	 -91.7175 	
-780 	 313 	 -928 	43.9775 	 4.85625 	 -21.9713 	
-549 	 204 	 -887 	-35.3938 	 -10.3775 	 6.58 	
-553 	 220 	 -735 	-51.6688 	 -17.675 	 -29.0325 	
-649 	 557 	 -210 	-31.0888 	 -15.3475 	 -80.8938 	
-513 	 541 	 -678 	13.0988 	 5.24125 	 -125.423 	
-125 	 161 	 -768 	73.7625 	 30.5025 	 61.6613 	
58 	 566 	 -883 	131.793 	 58.0825 	 207.069 	
61 	 320 	 -906 	142.328 	 88.0425 	 163.573 	
-45 	 233 	 -1019 	110.381 	 132.055 	 50.5925 	
210 	 -82 	 -986 	85.785 	 168.691 	 43.5138 	
294 	 -141 	 -992 	86.5725 	 190.846 	 60.165 	
411 	 -312 	 -1113 	95.725 	 205.179 	 58.7475 	
483 	 -271 	 -1034 	98.6038 	 209.501 	 50.61 	
572 	 -442 	 -873 	85.54 	 206.789 	 14.2275 	
645 	 -513 	 -793 	71.4875 	 193.97 	 7.9975 	
656 	 -491 	 -892 	71.8375 	 177.546 	 -5.80125 	
