@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_PositiveZeroCross_on_GY_X numeric
@attribute F3_PositiveZeroCross_on_GY_Y numeric
@attribute F4_NegativeZeroCross_on_GY_X numeric
@attribute F5_NegativeZeroCross_on_GY_Y numeric
@attribute F6_NegativeZeroCross_on_GY_Z numeric
@attribute class {down, left, up, stand}

@data
-1.12695, 2, 4, 2, 6, 6, down
-1.03027, 2, 4, 4, 2, 8, down
-1.32031, 4, 6, 2, 8, 6, down
-0.953125, 2, 2, 2, 2, 4, down
-1.09766, 4, 4, 4, 6, 10, down
-1.0293, 2, 2, 2, 2, 8, down
-0.96875, 2, 6, 4, 4, 10, down
-1.33496, 4, 4, 2, 4, 8, down
-1.16016, 2, 4, 2, 4, 8, down
-0.992676, 2, 4, 2, 4, 8, down
-1.07031, 2, 6, 2, 4, 8, down
-1.18945, 2, 4, 2, 4, 10, down
-1.03906, 2, 4, 4, 2, 6, down
1.19141, 4, 4, 2, 4, 4, left
1.02246, 4, 4, 4, 4, 6, left
0.906738, 2, 6, 2, 4, 4, left
0.972168, 2, 4, 2, 6, 6, left
0.921387, 2, 4, 2, 4, 6, left
0.904785, 2, 4, 2, 4, 6, left
0.771484, 2, 4, 2, 4, 4, left
0.999023, 2, 4, 2, 6, 6, left
0.856934, 2, 4, 2, 4, 4, left
0.829102, 2, 2, 2, 2, 4, left
0.833008, 2, 2, 2, 2, 6, left
0.880371, 2, 2, 2, 4, 4, left
0.841797, 2, 4, 2, 2, 6, left
0.848145, 2, 4, 2, 4, 4, left
0.910645, 2, 2, 2, 4, 8, left
0.919434, 2, 4, 2, 4, 4, left
0.869629, 2, 2, 2, 2, 8, left
0.858398, 2, 2, 2, 2, 6, left
0.916016, 2, 4, 2, 6, 8, left
0.884277, 2, 2, 2, 2, 6, left
0.914063, 2, 4, 2, 4, 4, left
0.912109, 2, 4, 2, 6, 4, left
0.906738, 2, 4, 2, 4, 8, left
0.837402, 2, 6, 2, 4, 6, left
0.891113, 2, 4, 2, 4, 6, left
0.896973, 2, 4, 2, 4, 4, left
0.847656, 2, 4, 2, 4, 2, left
0.881836, 2, 4, 2, 4, 6, left
0.904297, 2, 4, 2, 4, 4, left
0.884277, 2, 4, 2, 2, 8, left
0.878418, 2, 6, 2, 8, 8, left
0.928223, 2, 2, 2, 2, 6, left
0.935547, 2, 4, 2, 2, 4, left
0.973633, 2, 6, 2, 6, 4, left
-0.0797119, 2, 4, 2, 4, 12, up
-0.14856, 2, 4, 2, 4, 10, up
-0.053894, 2, 4, 2, 4, 10, up
-0.216553, 2, 4, 2, 4, 4, up
-0.223877, 4, 4, 4, 4, 6, up
-0.186035, 2, 4, 2, 4, 8, up
-0.14917, 2, 4, 2, 4, 6, up
