@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_PeakToPeak_on_ACC_X numeric
@attribute F8_PeakToPeak_on_ACC_Y numeric
@attribute F9_PeakToPeak_on_ACC_Z numeric
@attribute F10_PeakToPeak_on_GY_X numeric
@attribute F11_PeakToPeak_on_GY_Y numeric
@attribute F12_PeakToPeak_on_GY_Z numeric
@attribute F13_ZeroCross_on_ACC_X numeric
@attribute F14_ZeroCross_on_ACC_X numeric
@attribute F15_ZeroCross_on_ACC_Y numeric
@attribute F16_ZeroCross_on_ACC_Y numeric
@attribute F17_ZeroCross_on_ACC_Z numeric
@attribute F18_ZeroCross_on_ACC_Z numeric
@attribute F19_ZeroCross_on_GY_X numeric
@attribute F20_ZeroCross_on_GY_Y numeric
@attribute F21_ZeroCross_on_GY_Z numeric
@attribute F22_PositiveZeroCross_on_ACC_X numeric
@attribute F23_PositiveZeroCross_on_ACC_X numeric
@attribute F24_PositiveZeroCross_on_ACC_Y numeric
@attribute F25_PositiveZeroCross_on_ACC_Y numeric
@attribute F26_PositiveZeroCross_on_ACC_Z numeric
@attribute F27_PositiveZeroCross_on_ACC_Z numeric
@attribute F28_PositiveZeroCross_on_GY_X numeric
@attribute F29_PositiveZeroCross_on_GY_Y numeric
@attribute F30_PositiveZeroCross_on_GY_Z numeric
@attribute class {down, left, up, stand}

@data
-1.12695, 0.0345154, -0.302979, 0.162598, -0.086853, 0.622559, 4.94531, 3.57422, 5.33984, 19.7188, 17.375, 9.10156, 8, 5, 10, 7, 10, 6, 4, 10, 10, 4, 2, 4, 3, 6, 3, 2, 4, 4, down
-1.03027, 0.329346, -0.2323, -0.842773, -0.717285, 0.462402, 7.02734, 6.20703, 7.60156, 17.2031, 17.3594, 10.9609, 18, 7, 10, 10, 10, 7, 6, 6, 18, 10, 4, 6, 6, 4, 3, 2, 4, 10, down
-1.32031, 0.0634766, -0.615234, -0.434326, 1.1377, 0.795898, 6.25781, 5.75, 8.25781, 21.0781, 19.7188, 12.7969, 16, 11, 14, 8, 12, 5, 6, 14, 10, 8, 5, 6, 4, 6, 3, 4, 6, 4, down
-0.953125, 0.206665, -0.540039, 0.927246, -0.807129, 0.456787, 5.58203, 4.42969, 7.33203, 20.8594, 21.2031, 11.0313, 12, 10, 8, 12, 12, 6, 4, 4, 8, 6, 5, 4, 6, 6, 3, 2, 2, 4, down
-1.09766, 0.0615234, -0.433838, -0.0897827, -0.0847778, 0.69873, 4.73828, 5.69531, 6.17188, 16.3906, 18.0625, 9.17969, 10, 6, 10, 6, 8, 6, 8, 10, 18, 4, 3, 4, 3, 4, 3, 4, 4, 8, down
-1.0293, -0.0361328, -0.398193, 0.447754, -0.453369, 0.266846, 4.29297, 3.64453, 4.91797, 15.75, 15.5234, 8.21094, 24, 6, 8, 9, 8, 6, 4, 4, 16, 12, 3, 4, 4, 4, 3, 2, 2, 8, down
-0.96875, 0.147217, -0.456055, -0.588867, -0.486816, 0.743652, 4.42969, 4.04297, 4.90234, 17, 18.1406, 11.1719, 14, 5, 10, 8, 10, 8, 6, 10, 22, 8, 3, 6, 5, 4, 3, 2, 6, 12, down
-1.33496, 0.0759888, -0.794922, -0.755859, 1.40332, 1.09863, 5.51172, 4.70703, 5.94922, 16.7813, 19.8594, 10.125, 10, 8, 10, 8, 10, 8, 6, 8, 14, 4, 3, 4, 3, 6, 5, 4, 4, 6, down
-1.16016, 0.212769, -0.567383, 0.323242, -0.380371, 0.250244, 5.57422, 4.05469, 5.34766, 13.8125, 23.4063, 8.83594, 10, 10, 14, 7, 10, 7, 4, 8, 16, 6, 6, 8, 4, 4, 3, 2, 4, 8, down
-0.992676, 0.251953, -0.719238, 0.161743, -0.479004, 0.511719, 5.90625, 4.42578, 7.16797, 19.2031, 21.3438, 11.1094, 16, 10, 8, 8, 8, 6, 4, 8, 14, 8, 5, 4, 4, 4, 3, 2, 4, 6, down
