@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_ZeroCross_on_ACC_X numeric
@attribute F8_ZeroCross_on_ACC_Y numeric
@attribute F9_ZeroCross_on_ACC_Z numeric
@attribute F10_PositiveZeroCross_on_ACC_X numeric
@attribute F11_PositiveZeroCross_on_ACC_X numeric
@attribute F12_PositiveZeroCross_on_ACC_Y numeric
@attribute F13_PositiveZeroCross_on_ACC_Y numeric
@attribute F14_PositiveZeroCross_on_ACC_Z numeric
@attribute F15_PositiveZeroCross_on_ACC_Z numeric
@attribute F16_PositiveZeroCross_on_GY_X numeric
@attribute F17_PositiveZeroCross_on_GY_Y numeric
@attribute F18_PositiveZeroCross_on_GY_Z numeric
@attribute F19_NegativeZeroCross_on_ACC_X numeric
@attribute F20_NegativeZeroCross_on_ACC_X numeric
@attribute F21_NegativeZeroCross_on_ACC_Y numeric
@attribute F22_NegativeZeroCross_on_ACC_Y numeric
@attribute F23_NegativeZeroCross_on_ACC_Z numeric
@attribute F24_NegativeZeroCross_on_ACC_Z numeric
@attribute F25_NegativeZeroCross_on_GY_X numeric
@attribute F26_NegativeZeroCross_on_GY_Y numeric
@attribute F27_NegativeZeroCross_on_GY_Z numeric
@attribute class {down, left, up, stand}

@data
-1.12695, 0.0345154, -0.302979, 0.162598, -0.086853, 0.622559, 5, 7, 6, 4, 2, 4, 3, 6, 3, 2, 4, 4, 4, 3, 6, 4, 4, 3, 2, 6, 6, down
-1.03027, 0.329346, -0.2323, -0.842773, -0.717285, 0.462402, 7, 10, 7, 10, 4, 6, 6, 4, 3, 2, 4, 10, 8, 3, 4, 4, 6, 4, 4, 2, 8, down
-1.32031, 0.0634766, -0.615234, -0.434326, 1.1377, 0.795898, 11, 8, 5, 8, 5, 6, 4, 6, 3, 4, 6, 4, 8, 6, 8, 4, 6, 2, 2, 8, 6, down
-0.953125, 0.206665, -0.540039, 0.927246, -0.807129, 0.456787, 10, 12, 6, 6, 5, 4, 6, 6, 3, 2, 2, 4, 6, 5, 4, 6, 6, 3, 2, 2, 4, down
-1.09766, 0.0615234, -0.433838, -0.0897827, -0.0847778, 0.69873, 6, 6, 6, 4, 3, 4, 3, 4, 3, 4, 4, 8, 6, 3, 6, 3, 4, 3, 4, 6, 10, down
-1.0293, -0.0361328, -0.398193, 0.447754, -0.453369, 0.266846, 6, 9, 6, 12, 3, 4, 4, 4, 3, 2, 2, 8, 12, 3, 4, 5, 4, 3, 2, 2, 8, down
-0.96875, 0.147217, -0.456055, -0.588867, -0.486816, 0.743652, 5, 8, 8, 8, 3, 6, 5, 4, 3, 2, 6, 12, 6, 2, 4, 3, 6, 5, 4, 4, 10, down
-1.33496, 0.0759888, -0.794922, -0.755859, 1.40332, 1.09863, 8, 8, 8, 4, 3, 4, 3, 6, 5, 4, 4, 6, 6, 5, 6, 5, 4, 3, 2, 4, 8, down
-1.16016, 0.212769, -0.567383, 0.323242, -0.380371, 0.250244, 10, 7, 7, 6, 6, 8, 4, 4, 3, 2, 4, 8, 4, 4, 6, 3, 6, 4, 2, 4, 8, down
-0.992676, 0.251953, -0.719238, 0.161743, -0.479004, 0.511719, 10, 8, 6, 8, 5, 4, 4, 4, 3, 2, 4, 6, 8, 5, 4, 4, 4, 3, 2, 4, 8, down
