STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-211 	 -903 	 -592 	22.61 	 -29.26 	 -9.555 	
-219 	 -883 	 -583 	22.19 	 -30.695 	 -16.065 	
-211 	 -846 	 -571 	21.595 	 -32.235 	 -19.95 	
-197 	 -829 	 -563 	20.58 	 -33.495 	 -19.705 	
-184 	 -796 	 -552 	19.495 	 -34.615 	 -15.82 	
-169 	 -783 	 -538 	17.92 	 -35.455 	 -10.08 	
-173 	 -762 	 -523 	16.135 	 -35.91 	 -4.13 	
-175 	 -746 	 -501 	14.105 	 -36.225 	 1.75 	
-187 	 -750 	 -469 	11.9 	 -36.365 	 6.51 	
-184 	 -762 	 -445 	9.59 	 -36.4 	 8.785 	
-189 	 -750 	 -425 	7.315 	 -36.225 	 7.665 	
-218 	 -744 	 -417 	4.655 	 -35.805 	 3.605 	
-220 	 -755 	 -426 	1.75 	 -35.49 	 -2.31 	
-217 	 -772 	 -425 	-1.085 	 -34.965 	 -9.065 	
-200 	 -768 	 -422 	-4.025 	 -34.475 	 -15.645 	
-179 	 -749 	 -411 	-7.21 	 -33.53 	 -21.385 	
-195 	 -788 	 -377 	-10.815 	 -32.585 	 -26.635 	
-177 	 -775 	 -370 	-14.035 	 -31.78 	 -31.92 	
-234 	 -785 	 -349 	-17.71 	 -30.45 	 -37.415 	
-237 	 -770 	 -355 	-21.35 	 -29.89 	 -45.395 	
-266 	 -771 	 -347 	-25.27 	 -28.56 	 -58.415 	
-241 	 -814 	 -335 	-29.225 	 -28 	 -76.615 	
-244 	 -666 	 -340 	-33.04 	 -26.95 	 -93.835 	
-224 	 -674 	 -366 	-38.71 	 -26.53 	 -100.59 	
-216 	 -554 	 -394 	-42.7 	 -26.215 	 -92.295 	
-201 	 -588 	 -373 	-48.825 	 -26.495 	 -69.51 	
-224 	 -539 	 -380 	-53.83 	 -26.67 	 -37.205 	
-256 	 -578 	 -380 	-59.815 	 -27.02 	 -1.855 	
-283 	 -611 	 -388 	-65.03 	 -27.23 	 28.665 	
-294 	 -726 	 -383 	-70.35 	 -26.775 	 47.285 	
-220 	 -790 	 -424 	-74.725 	 -25.76 	 50.61 	
-124 	 -827 	 -467 	-78.96 	 -23.1 	 41.335 	
-75 	 -773 	 -493 	-82.845 	 -19.705 	 26.845 	
-79 	 -569 	 -542 	-87.71 	 -15.435 	 16.1 	
-171 	 -526 	 -566 	-94.185 	 -11.865 	 16.765 	
-203 	 -478 	 -595 	-101.185 	 -9.275 	 30.275 	
-287 	 -476 	 -590 	-107.8 	 -6.23 	 54.25 	
-250 	 -582 	 -619 	-114.345 	 -4.165 	 81.41 	
-221 	 -670 	 -654 	-119.245 	 -0.35 	 101.29 	
-177 	 -772 	 -687 	-122.57 	 4.235 	 107.52 	
-199 	 -852 	 -677 	-123.9 	 9.87 	 101.465 	
-199 	 -887 	 -663 	-123.69 	 14.35 	 87.185 	
-260 	 -792 	 -650 	-121.45 	 19.145 	 69.09 	
-293 	 -737 	 -616 	-119.175 	 21.35 	 54.11 	
-331 	 -701 	 -582 	-115.325 	 22.96 	 46.76 	
-322 	 -749 	 -523 	-110.74 	 23.38 	 46.13 	
-298 	 -758 	 -560 	-104.37 	 23.345 	 48.685 	
-266 	 -757 	 -603 	-96.95 	 23.17 	 50.925 	
-315 	 -752 	 -599 	-89.11 	 23.905 	 51.275 	
-297 	 -752 	 -646 	-81.34 	 22.855 	 48.3 	
-304 	 -715 	 -713 	-73.745 	 22.645 	 39.48 	
-318 	 -688 	 -726 	-66.745 	 22.47 	 26.11 	
-300 	 -638 	 -732 	-61.005 	 21.84 	 11.725 	
-295 	 -610 	 -750 	-56.14 	 21.42 	 -0.875 	
-273 	 -583 	 -779 	-52.605 	 21.49 	 -10.36 	
-245 	 -462 	 -809 	-49.35 	 21.07 	 -16.415 	
-246 	 -447 	 -826 	-48.23 	 21.315 	 -16.345 	
-263 	 -400 	 -843 	-47.215 	 21.07 	 -8.365 	
-275 	 -394 	 -850 	-46.97 	 20.825 	 5.81 	
-266 	 -401 	 -841 	-46.585 	 20.37 	 20.895 	
-233 	 -448 	 -834 	-46.62 	 20.44 	 31.15 	
-206 	 -475 	 -852 	-46.445 	 20.965 	 33.25 	
-207 	 -485 	 -884 	-46.27 	 21.945 	 28.525 	
-241 	 -468 	 -908 	-46.13 	 22.96 	 21 	
-274 	 -421 	 -932 	-46.095 	 23.38 	 14.84 	
-315 	 -386 	 -957 	-45.64 	 22.96 	 13.58 	
-323 	 -411 	 -944 	-45.01 	 22.05 	 17.395 	
-305 	 -458 	 -933 	-43.505 	 20.58 	 21.98 	
-298 	 -485 	 -936 	-40.81 	 19.005 	 25.48 	
-314 	 -495 	 -944 	-37.345 	 17.43 	 28.665 	
-319 	 -503 	 -946 	-33.32 	 15.61 	 30.59 	
-324 	 -493 	 -968 	-29.33 	 13.685 	 29.75 	
-335 	 -485 	 -996 	-24.99 	 11.725 	 25.62 	
-333 	 -511 	 -999 	-20.615 	 9.835 	 18.97 	
-304 	 -521 	 -996 	-16.065 	 7.805 	 10.255 	
-291 	 -519 	 -1003 	-11.235 	 6.125 	 0.7 	
-285 	 -494 	 -1010 	-6.23 	 4.515 	 -6.335 	
-284 	 -477 	 -1009 	-1.365 	 2.87 	 -7.91 	
-256 	 -445 	 -1018 	3.43 	 1.05 	 -4.48 	
-237 	 -433 	 -1024 	7.805 	 -0.35 	 1.925 	
-233 	 -418 	 -1024 	11.97 	 -1.75 	 9.73 	
-261 	 -429 	 -1018 	15.68 	 -2.94 	 17.64 	
-269 	 -454 	 -1017 	18.935 	 -4.235 	 22.715 	
-261 	 -474 	 -1017 	21.91 	 -5.285 	 21.14 	
-246 	 -480 	 -1028 	24.5 	 -6.055 	 12.18 	
-239 	 -474 	 -1023 	26.74 	 -6.37 	 -0.665 	
-247 	 -443 	 -1005 	28.35 	 -6.44 	 -12.075 	
-257 	 -424 	 -996 	29.33 	 -6.86 	 -17.78 	
-267 	 -400 	 -987 	30.1 	 -7.42 	 -17.22 	
-266 	 -398 	 -972 	30.45 	 -8.19 	 -13.09 	
-261 	 -408 	 -957 	30.73 	 -9.03 	 -8.47 	
-262 	 -421 	 -942 	30.905 	 -9.8 	 -5.005 	
-267 	 -440 	 -931 	31.29 	 -10.57 	 -3.22 	
-273 	 -465 	 -910 	31.815 	 -11.34 	 -3.29 	
-273 	 -478 	 -895 	32.445 	 -12.04 	 -5.67 	
-278 	 -484 	 -885 	33.32 	 -12.845 	 -9.66 	
-290 	 -484 	 -880 	34.16 	 -13.58 	 -13.86 	
-296 	 -482 	 -877 	35.245 	 -14.63 	 -17.01 	
-296 	 -492 	 -864 	36.435 	 -15.68 	 -18.865 	
-286 	 -504 	 -866 	37.59 	 -16.8 	 -19.915 	
-284 	 -490 	 -864 	39.2 	 -17.815 	 -20.58 	
-277 	 -498 	 -854 	40.6 	 -18.795 	 -20.335 	
-278 	 -485 	 -862 	42.21 	 -19.67 	 -18.865 	
-274 	 -480 	 -862 	43.855 	 -20.51 	 -15.995 	
-269 	 -498 	 -863 	45.5 	 -21.28 	 -12.46 	
-264 	 -502 	 -868 	47.495 	 -21.98 	 -9.205 	
-275 	 -523 	 -868 	49.595 	 -22.54 	 -6.405 	
-291 	 -545 	 -870 	51.94 	 -23.205 	 -4.095 	
-296 	 -548 	 -882 	54.6 	 -23.94 	 -3.71 	
-303 	 -579 	 -892 	57.295 	 -24.395 	 -6.65 	
-298 	 -607 	 -878 	60.41 	 -24.78 	 -13.055 	
-290 	 -629 	 -867 	63.42 	 -24.78 	 -21.455 	
-284 	 -637 	 -861 	66.57 	 -24.5 	 -29.155 	
-271 	 -599 	 -842 	69.79 	 -24.08 	 -33.74 	
-273 	 -606 	 -825 	72.17 	 -23.415 	 -33.88 	
-263 	 -602 	 -808 	74.305 	 -22.89 	 -29.785 	
-254 	 -613 	 -787 	75.915 	 -22.085 	 -23.555 	
-255 	 -627 	 -764 	76.86 	 -21.175 	 -17.675 	
-259 	 -646 	 -744 	77.21 	 -20.195 	 -14.245 	
-243 	 -660 	 -712 	76.79 	 -18.795 	 -14.98 	
-233 	 -681 	 -701 	75.67 	 -17.045 	 -20.16 	
-213 	 -679 	 -679 	74.06 	 -14.98 	 -28.77 	
-198 	 -692 	 -659 	71.54 	 -12.32 	 -37.38 	
-198 	 -662 	 -626 	68.565 	 -9.695 	 -41.79 	
-196 	 -652 	 -608 	64.645 	 -7.35 	 -39.445 	
-200 	 -628 	 -584 	60.41 	 -5.18 	 -31.255 	
-198 	 -628 	 -569 	55.195 	 -3.36 	 -19.845 	
-198 	 -625 	 -562 	49.77 	 -1.75 	 -9.065 	
-205 	 -634 	 -556 	44.1 	 -0.175 	 -1.75 	
-216 	 -672 	 -535 	38.605 	 1.155 	 0.805 	
-221 	 -719 	 -517 	33.39 	 2.345 	 -1.61 	
-222 	 -752 	 -510 	29.05 	 3.29 	 -7.945 	
-225 	 -757 	 -501 	25.34 	 4.165 	 -15.12 	
-225 	 -753 	 -500 	21.945 	 4.55 	 -19.215 	
-221 	 -730 	 -502 	19.005 	 4.515 	 -18.025 	
-221 	 -712 	 -501 	16.205 	 4.165 	 -12.18 	
-216 	 -717 	 -498 	13.3 	 3.71 	 -4.41 	
-217 	 -721 	 -502 	10.71 	 3.08 	 2.205 	
-226 	 -743 	 -506 	8.155 	 2.38 	 5.39 	
-237 	 -759 	 -509 	6.02 	 1.645 	 4.655 	
-245 	 -773 	 -510 	3.955 	 0.91 	 0.875 	
-247 	 -770 	 -521 	2.135 	 -0.035 	 -4.06 	
-244 	 -753 	 -537 	0.35 	 -1.085 	 -8.33 	
-243 	 -730 	 -547 	-1.365 	 -2.24 	 -10.535 	
-243 	 -718 	 -555 	-3.22 	 -3.43 	 -9.94 	
-240 	 -712 	 -560 	-4.935 	 -4.62 	 -7.35 	
-235 	 -732 	 -559 	-6.3 	 -5.775 	 -4.865 	
-221 	 -760 	 -556 	-7.28 	 -6.79 	 -4.025 	
-217 	 -776 	 -557 	-7.665 	 -7.63 	 -4.97 	
-217 	 -770 	 -563 	-7.7 	 -8.365 	 -6.265 	
-222 	 -768 	 -570 	-7.49 	 -9.1 	 -6.37 	
-217 	 -762 	 -580 	-7.245 	 -9.835 	 -4.865 	
-219 	 -750 	 -594 	-7.07 	 -10.465 	 -2.135 	
-219 	 -747 	 -600 	-7.035 	 -10.955 	 0.735 	
-212 	 -752 	 -603 	-7.105 	 -11.34 	 2.205 	
-212 	 -758 	 -606 	-6.965 	 -11.41 	 1.61 	
-211 	 -778 	 -601 	-6.93 	 -11.41 	 -0.665 	
-217 	 -773 	 -603 	-6.615 	 -11.235 	 -3.36 	
-229 	 -762 	 -606 	-6.195 	 -11.13 	 -5.04 	
-235 	 -745 	 -608 	-5.915 	 -11.235 	 -4.41 	
-238 	 -733 	 -609 	-5.81 	 -11.235 	 -1.295 	
-239 	 -735 	 -611 	-5.775 	 -11.27 	 3.01 	
-234 	 -737 	 -616 	-5.81 	 -11.235 	 6.265 	
-235 	 -750 	 -615 	-5.81 	 -10.955 	 6.895 	
-223 	 -770 	 -611 	-5.775 	 -10.57 	 4.935 	
-225 	 -778 	 -608 	-5.46 	 -9.87 	 1.855 	
-226 	 -777 	 -600 	-5.075 	 -9.275 	 -0.56 	
-235 	 -770 	 -602 	-4.515 	 -8.715 	 -1.085 	
-235 	 -765 	 -606 	-4.165 	 -8.225 	 -0.07 	
-235 	 -755 	 -612 	-3.955 	 -7.735 	 1.085 	
-245 	 -741 	 -618 	-4.06 	 -7.175 	 2.065 	
-255 	 -725 	 -622 	-4.27 	 -6.755 	 2.975 	
-268 	 -725 	 -626 	-4.76 	 -6.335 	 3.675 	
