STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-621 	 776 	 71 	0.42 	 -1.82 	 -0.175 	
-612 	 773 	 74 	0.595 	 -1.785 	 -0.525 	
-606 	 777 	 73 	0.805 	 -1.645 	 -0.91 	
-608 	 783 	 73 	0.98 	 -1.47 	 -0.945 	
-613 	 782 	 71 	1.015 	 -1.365 	 -0.28 	
-613 	 789 	 67 	0.945 	 -1.26 	 0.56 	
-612 	 790 	 69 	0.805 	 -1.225 	 1.05 	
-618 	 788 	 70 	0.595 	 -1.155 	 0.98 	
-621 	 784 	 71 	0.385 	 -1.12 	 0.735 	
-624 	 785 	 71 	0.175 	 -1.085 	 0.525 	
-620 	 781 	 74 	0 	 -1.085 	 0.28 	
-619 	 782 	 73 	-0.14 	 -1.05 	 0.105 	
-618 	 785 	 71 	-0.245 	 -0.98 	 0.035 	
-620 	 788 	 70 	-0.42 	 -0.91 	 0.21 	
-623 	 786 	 71 	-0.525 	 -0.84 	 0.595 	
-627 	 783 	 76 	-0.63 	 -0.77 	 0.98 	
-629 	 779 	 77 	-0.7 	 -0.77 	 1.155 	
-627 	 774 	 76 	-0.665 	 -0.7 	 1.12 	
-625 	 770 	 77 	-0.56 	 -0.7 	 0.7 	
-621 	 770 	 76 	-0.455 	 -0.56 	 0.105 	
-616 	 772 	 75 	-0.315 	 -0.455 	 -0.49 	
-616 	 777 	 74 	-0.21 	 -0.28 	 -0.735 	
-617 	 780 	 74 	-0.245 	 -0.105 	 -0.49 	
-619 	 783 	 69 	-0.175 	 -0.105 	 0.105 	
-620 	 782 	 67 	-0.28 	 -0.035 	 0.77 	
-620 	 783 	 64 	-0.385 	 0 	 0.945 	
-620 	 782 	 62 	-0.525 	 0.035 	 0.595 	
-619 	 780 	 61 	-0.665 	 0.07 	 0.14 	
-618 	 782 	 61 	-0.735 	 0.14 	 -0.14 	
-619 	 782 	 63 	-0.77 	 0.175 	 -0.14 	
-619 	 782 	 63 	-0.805 	 0.14 	 0.315 	
-624 	 781 	 63 	-0.7 	 0.105 	 0.945 	
-628 	 782 	 61 	-0.7 	 0.105 	 1.435 	
-625 	 782 	 62 	-0.595 	 0 	 1.435 	
-623 	 783 	 63 	-0.525 	 -0.035 	 0.84 	
-623 	 785 	 64 	-0.49 	 -0.105 	 0 	
-623 	 787 	 64 	-0.385 	 -0.07 	 -0.735 	
-622 	 791 	 64 	-0.245 	 -0.14 	 -0.98 	
-615 	 791 	 63 	-0.07 	 -0.21 	 -0.875 	
-612 	 793 	 55 	0.175 	 -0.14 	 -0.49 	
-611 	 794 	 59 	0.595 	 -0.035 	 0.035 	
-606 	 792 	 63 	0.945 	 0.07 	 0.665 	
-610 	 785 	 61 	1.47 	 0.21 	 1.19 	
-610 	 778 	 58 	2.1 	 0.315 	 1.61 	
-607 	 773 	 62 	2.905 	 0.385 	 1.575 	
-602 	 763 	 64 	3.885 	 0.455 	 0.875 	
-599 	 753 	 68 	5.005 	 0.56 	 -0.105 	
-591 	 749 	 76 	6.16 	 0.735 	 -1.19 	
-586 	 749 	 77 	7.455 	 0.84 	 -2.03 	
-585 	 750 	 80 	8.61 	 0.98 	 -2.38 	
-587 	 761 	 81 	9.66 	 1.015 	 -2.065 	
-593 	 772 	 75 	10.395 	 0.98 	 -1.33 	
-606 	 779 	 69 	10.99 	 0.84 	 -0.175 	
-618 	 785 	 63 	11.34 	 0.525 	 0.98 	
-626 	 779 	 58 	11.445 	 0.035 	 1.82 	
-634 	 777 	 58 	11.375 	 -0.385 	 1.96 	
-635 	 777 	 55 	11.375 	 -1.05 	 1.33 	
-640 	 772 	 50 	11.27 	 -1.47 	 0.105 	
-642 	 772 	 45 	11.2 	 -1.995 	 -1.4 	
-645 	 771 	 42 	11.235 	 -2.485 	 -3.01 	
-645 	 767 	 40 	11.34 	 -2.94 	 -4.585 	
-643 	 766 	 40 	11.585 	 -3.395 	 -6.125 	
-642 	 763 	 45 	11.865 	 -3.78 	 -7.735 	
-638 	 759 	 42 	12.39 	 -4.2 	 -9.275 	
-637 	 758 	 41 	12.95 	 -4.41 	 -10.675 	
-633 	 759 	 38 	13.58 	 -4.585 	 -12.075 	
-628 	 759 	 36 	14.35 	 -4.795 	 -13.335 	
-627 	 762 	 30 	15.015 	 -4.865 	 -14.63 	
