STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
355 	 1196 	 162 	-2.905 	 10.885 	 -1.61 	
19 	 1602 	 179 	-5.705 	 17.57 	 6.65 	
217 	 1600 	 220 	-11.375 	 17.01 	 16.31 	
2 	 1623 	 240 	-17.045 	 21.63 	 27.09 	
175 	 1399 	 113 	-24.29 	 20.02 	 29.435 	
3 	 1319 	 52 	-29.365 	 24.465 	 27.09 	
242 	 1392 	 -8 	-34.125 	 24.255 	 24.43 	
-59 	 1478 	 69 	-38.5 	 31.185 	 28.525 	
-42 	 1582 	 176 	-39.025 	 29.54 	 42.665 	
-487 	 1719 	 254 	-46.13 	 33.25 	 50.4 	
-615 	 1149 	 311 	-53.375 	 28.035 	 52.955 	
-665 	 688 	 141 	-54.53 	 24.92 	 52.36 	
-605 	 -188 	 21 	-51.905 	 18.62 	 45.885 	
-47 	 -1 	 -41 	-36.085 	 15.085 	 37.8 	
-27 	 733 	 205 	-28.35 	 16.415 	 23.065 	
-78 	 1168 	 313 	-26.04 	 17.22 	 22.645 	
-199 	 778 	 374 	-30.17 	 16.8 	 23.275 	
-38 	 1007 	 289 	-25.725 	 15.085 	 27.545 	
-79 	 826 	 256 	-25.06 	 14.875 	 35.07 	
-38 	 960 	 214 	-19.425 	 13.965 	 47.985 	
-52 	 823 	 267 	-16.52 	 12.985 	 62.265 	
18 	 909 	 251 	-10.255 	 11.69 	 78.015 	
-38 	 841 	 280 	-6.02 	 10.99 	 93.73 	
-77 	 869 	 247 	-0.315 	 9.8 	 108.78 	
-100 	 875 	 267 	4.165 	 7.315 	 119.735 	
-48 	 975 	 226 	7.98 	 5.425 	 129.045 	
-24 	 962 	 240 	9.8 	 3.395 	 135.45 	
66 	 1025 	 228 	11.095 	 2.205 	 137.655 	
77 	 993 	 312 	10.85 	 1.785 	 138.25 	
215 	 986 	 344 	10.535 	 1.12 	 136.745 	
177 	 919 	 345 	9.765 	 2.1 	 133.665 	
267 	 913 	 275 	9.555 	 1.89 	 128.94 	
194 	 846 	 254 	8.995 	 3.5 	 121.835 	
282 	 843 	 199 	8.925 	 3.43 	 107.835 	
236 	 839 	 196 	8.715 	 5.25 	 88.06 	
291 	 861 	 178 	8.435 	 5.915 	 64.26 	
231 	 852 	 191 	7.84 	 7.91 	 39.34 	
305 	 914 	 186 	7.595 	 8.19 	 14.63 	
271 	 930 	 213 	6.86 	 9.87 	 -6.895 	
281 	 937 	 212 	6.16 	 10.255 	 -23.695 	
250 	 951 	 210 	5.81 	 10.78 	 -34.825 	
249 	 958 	 195 	5.6 	 10.43 	 -39.9 	
198 	 953 	 170 	5.6 	 10.115 	 -38.36 	
200 	 954 	 140 	5.915 	 8.715 	 -31.605 	
174 	 970 	 128 	6.51 	 7.455 	 -21.49 	
153 	 953 	 117 	7.035 	 5.67 	 -10.64 	
134 	 917 	 112 	7.84 	 3.78 	 -2.135 	
141 	 863 	 114 	8.96 	 1.75 	 1.33 	
173 	 835 	 115 	10.605 	 -0.105 	 -1.33 	
178 	 827 	 124 	12.18 	 -1.61 	 -8.12 	
170 	 857 	 125 	13.93 	 -3.22 	 -15.47 	
138 	 863 	 112 	14.945 	 -4.76 	 -21.35 	
151 	 911 	 105 	16.03 	 -6.65 	 -26.53 	
195 	 944 	 123 	16.24 	 -8.155 	 -31.36 	
228 	 978 	 172 	15.96 	 -9.065 	 -35.56 	
239 	 996 	 197 	15.155 	 -9.73 	 -37.73 	
212 	 998 	 190 	14.14 	 -10.185 	 -36.12 	
197 	 998 	 171 	13.16 	 -10.885 	 -30.45 	
176 	 1000 	 177 	12.145 	 -11.515 	 -22.33 	
196 	 1006 	 217 	10.78 	 -12.25 	 -14.35 	
210 	 990 	 254 	8.855 	 -12.425 	 -8.435 	
229 	 960 	 244 	6.79 	 -12.46 	 -4.34 	
217 	 968 	 236 	4.865 	 -11.76 	 -1.12 	
235 	 1004 	 243 	2.52 	 -11.13 	 1.82 	
206 	 1046 	 241 	-0.14 	 -10.01 	 4.34 	
221 	 1039 	 279 	-3.08 	 -9.205 	 6.09 	
236 	 1001 	 270 	-5.74 	 -8.12 	 7.105 	
232 	 916 	 268 	-8.12 	 -6.58 	 6.58 	
299 	 918 	 243 	-9.17 	 -5.46 	 3.255 	
290 	 909 	 235 	-10.29 	 -3.395 	 -0.735 	
275 	 914 	 225 	-10.85 	 -1.785 	 -2.625 	
271 	 923 	 240 	-11.025 	 -0.28 	 -0.875 	
295 	 970 	 285 	-10.815 	 0.875 	 3.955 	
247 	 978 	 305 	-10.465 	 2.205 	 11.795 	
240 	 900 	 280 	-9.835 	 2.695 	 21.77 	
266 	 862 	 274 	-7.665 	 3.325 	 30.45 	
310 	 822 	 263 	-5.32 	 4.165 	 34.965 	
317 	 797 	 261 	-2.45 	 5.32 	 34.93 	
327 	 794 	 235 	0.315 	 6.545 	 32.13 	
337 	 819 	 224 	3.22 	 7.735 	 28.63 	
334 	 847 	 210 	5.425 	 9.1 	 25.97 	
328 	 878 	 182 	7.455 	 10.15 	 24.99 	
315 	 905 	 187 	8.96 	 11.515 	 25.55 	
330 	 947 	 207 	10.36 	 12.425 	 26.53 	
311 	 928 	 197 	11.06 	 13.965 	 26.53 	
342 	 888 	 213 	12.04 	 15.12 	 23.625 	
405 	 851 	 203 	13.055 	 16.66 	 17.885 	
386 	 825 	 183 	14.21 	 18.865 	 11.235 	
408 	 858 	 167 	15.4 	 20.72 	 5.39 	
