@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_ZeroCross_on_ACC_X numeric
@attribute F8_ZeroCross_on_ACC_Y numeric
@attribute F9_ZeroCross_on_ACC_Z numeric
@attribute F10_ZeroCross_on_GY_X numeric
@attribute F11_ZeroCross_on_GY_Y numeric
@attribute F12_PositiveZeroCross_on_ACC_X numeric
@attribute F13_PositiveZeroCross_on_ACC_Y numeric
@attribute F14_PositiveZeroCross_on_ACC_Z numeric
@attribute F15_PositiveZeroCross_on_GY_X numeric
@attribute F16_PositiveZeroCross_on_GY_Y numeric
@attribute F17_PositiveZeroCross_on_GY_Z numeric
@attribute F18_NegativeZeroCross_on_ACC_X numeric
@attribute F19_NegativeZeroCross_on_ACC_Y numeric
@attribute F20_NegativeZeroCross_on_ACC_Z numeric
@attribute F21_NegativeZeroCross_on_GY_X numeric
@attribute F22_NegativeZeroCross_on_GY_Y numeric
@attribute F23_NegativeZeroCross_on_GY_Z numeric
@attribute class {stand, up, down, left}

@data
0.0135498, 0.141357, -0.990723, -0.0228882, -0.0248871, -0.039856, 6, 0, 0, 4, 2, 2, 0, 0, 2, 2, 10, 4, 0, 0, 2, 0, 10, stand
-0.0875244, 0.167358, -0.991211, -0.16748, -0.450439, -0.194336, 10, 14, 10, 2, 2, 4, 8, 4, 0, 0, 8, 6, 6, 6, 2, 2, 6, stand
-0.455811, 0.526367, -0.657715, -1.25293, -2.51367, 1.40723, 0, 0, 6, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 2, stand
-0.214478, 0.940918, -0.0267792, -0.0601807, -0.569824, 0.921387, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, stand
0.0452271, 1, 0.0316162, -0.0959473, -0.0836792, 0.235229, 0, 0, 0, 10, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 4, 0, 0, stand
-0.560547, 0.697266, -0.0159912, 0.11322, 0.205933, -3.06445, 8, 10, 16, 2, 2, 4, 4, 8, 0, 0, 0, 4, 6, 8, 2, 2, 0, stand
-1.0127, -0.0223389, -0.0216522, -0.0699463, -0.0925903, -0.639648, 0, 0, 20, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 12, 0, 0, 0, stand
-0.999023, -0.0661621, -0.0214233, 0.000405073, -0.0596619, 0.025528, 14, 0, 12, 4, 8, 6, 0, 6, 2, 4, 0, 8, 0, 6, 2, 4, 0, stand
-0.999512, -0.0534363, -0.00830841, 0.00564194, -0.000558853, 0.0366821, 24, 28, 6, 6, 8, 12, 14, 4, 2, 4, 8, 12, 14, 2, 4, 4, 6, stand
-0.956055, -0.00625992, -0.0776978, -0.136108, 0.337646, 0.0713501, 6, 24, 2, 8, 4, 4, 12, 0, 4, 2, 2, 2, 12, 2, 4, 2, 2, stand
-0.591309, 0.14563, -0.76709, -0.179321, 2.5625, 0.651367, 0, 4, 0, 2, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, stand
0.25293, 0.00709915, -0.990723, 0.579102, 1.80957, -0.0110703, 0, 16, 8, 4, 0, 0, 8, 4, 2, 0, 2, 0, 8, 4, 2, 0, 2, stand
0.844727, 0.144775, -0.389648, -0.106323, 1.72656, -0.510254, 0, 6, 0, 0, 2, 0, 4, 0, 0, 0, 2, 0, 2, 0, 0, 2, 2, stand
0.976563, 0.122986, -0.0227661, 0.0290527, 0.0156555, 0.177979, 0, 14, 0, 2, 0, 0, 6, 0, 2, 0, 0, 0, 8, 0, 0, 0, 0, stand
0.99707, 0.0904541, -0.00898743, 0.0512085, 0.0368652, 0.0506287, 4, 8, 2, 2, 6, 2, 4, 2, 0, 4, 0, 2, 4, 0, 2, 2, 0, stand
0.99707, 0.0603638, 0.00913239, 0.0107574, -0.0164795, 0.0907593, 18, 0, 0, 0, 2, 8, 0, 0, 0, 0, 8, 10, 0, 0, 0, 2, 8, stand
0.974121, -0.210083, -0.0326538, -0.0883179, -0.18457, 1.08984, 12, 8, 0, 0, 2, 6, 4, 0, 0, 2, 0, 6, 4, 0, 0, 0, 0, stand
0.794434, -0.604492, -0.0411987, 0.0338745, 0.026001, 0.52832, 0, 0, 24, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12, 0, 0, 2, stand
