STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
630 	 31 	 -623 	 116.515 	 12.355 	 -35.455 	
668 	 9 	 -611 	 121.03 	 15.26 	 -27.86 	
643 	 28 	 -556 	 124.915 	 18.9 	 -15.33 	
742 	 -22 	 -479 	 128.38 	 20.755 	 5.635 	
879 	 -114 	 -470 	 132.09 	 22.75 	 40.075 	
842 	 -201 	 -546 	 134.47 	 26.39 	 90.65 	
583 	 -355 	 -644 	 133.595 	 30.1 	 159.005 	
799 	 -612 	 -776 	 130.69 	 29.12 	 237.685 	
1463 	 -943 	 -1018 	 129.885 	 29.47 	 312.62 	
2054 	 -1135 	 -1267 	 133.875 	 39.83 	 369.635 	
2485 	 -1314 	 -1335 	 133.245 	 55.615 	 393.12 	
2746 	 -1225 	 -1232 	 124.775 	 70.28 	 379.365 	
3148 	 -1103 	 -1133 	 108.92 	 84.91 	 342.44 	
3308 	 -500 	 -980 	 91.49 	 107.415 	 297.465 	
3025 	 312 	 -827 	 69.23 	 134.855 	 270.13 	
2739 	 973 	 -765 	 36.4 	 156.275 	 264.39 	
2605 	 1409 	 -704 	 -3.08 	 169.995 	 272.16 	
2576 	 1890 	 -557 	 -43.54 	 181.685 	 282.835 	
2187 	 2379 	 -382 	 -87.78 	 194.88 	 284.41 	
1589 	 2684 	 -165 	 -136.675 	 204.82 	 270.725 	
999 	 2856 	 -23 	 -187.705 	 206.85 	 238.91 	
410 	 2916 	 127 	 -239.785 	 201.6 	 189.945 	
-148 	 2745 	 270 	 -291.375 	 188.51 	 135.205 	
-757 	 2490 	 533 	 -337.085 	 166.145 	 84.28 	
-1182 	 2115 	 799 	 -373.485 	 132.16 	 48.72 	
-1326 	 1806 	 982 	 -400.085 	 90.125 	 29.855 	
-1342 	 1422 	 1159 	 -417.585 	 46.095 	 25.62 	
-1194 	 1072 	 1254 	 -427.0 	 0.525 	 22.925 	
-879 	 616 	 1227 	 -428.505 	 -44.94 	 14.735 	
-531 	 195 	 1020 	 -418.635 	 -88.41 	 0.28 	
-143 	 -40 	 846 	 -396.2 	 -128.31 	 -15.89 	
371 	 3 	 606 	 -367.325 	 -164.5 	 -28.91 	
813 	 -36 	 301 	 -338.31 	 -192.465 	 -29.82 	
1101 	 -227 	 78 	 -304.29 	 -211.68 	 -17.36 	
1315 	 -145 	 -146 	 -261.065 	 -224.245 	 4.48 	
1444 	 78 	 -361 	 -216.335 	 -228.69 	 29.19 	
1502 	 104 	 -536 	 -176.785 	 -226.975 	 48.615 	
1566 	 27 	 -718 	 -138.565 	 -221.48 	 56.595 	
1639 	 138 	 -855 	 -98.525 	 -210.14 	 53.55 	
1583 	 412 	 -925 	 -60.41 	 -192.745 	 45.99 	
1443 	 595 	 -976 	 -27.125 	 -173.04 	 42.245 	
1376 	 665 	 -1022 	 3.605 	 -153.51 	 45.185 	
1309 	 716 	 -1041 	 34.3 	 -132.405 	 54.775 	
1148 	 842 	 -1038 	 63.28 	 -109.235 	 67.795 	
911 	 892 	 -973 	 87.5 	 -86.31 	 81.06 	
770 	 851 	 -936 	 108.43 	 -66.71 	 91.105 	
723 	 811 	 -923 	 128.205 	 -48.475 	 96.705 	
643 	 797 	 -875 	 146.965 	 -30.38 	 98.91 	
547 	 813 	 -830 	 163.975 	 -14.49 	 98.735 	
519 	 808 	 -789 	 178.43 	 -1.785 	 96.04 	
561 	 754 	 -735 	 190.995 	 9.31 	 91.0 	
612 	 747 	 -656 	 202.545 	 19.915 	 83.755 	
609 	 748 	 -609 	 211.925 	 29.4 	 76.93 	
587 	 725 	 -588 	 218.89 	 36.645 	 72.38 	
617 	 665 	 -570 	 225.085 	 41.16 	 71.295 	
699 	 647 	 -577 	 231.175 	 44.03 	 72.17 	
760 	 675 	 -573 	 235.2 	 46.865 	 73.01 	
779 	 642 	 -553 	 235.97 	 49.07 	 72.695 	
804 	 542 	 -571 	 235.585 	 49.28 	 70.455 	
872 	 505 	 -593 	 235.375 	 48.72 	 66.22 	
918 	 530 	 -590 	 233.66 	 48.3 	 61.565 	
922 	 485 	 -566 	 229.355 	 47.88 	 57.89 	
923 	 429 	 -558 	 224.28 	 46.375 	 55.72 	
949 	 403 	 -568 	 219.24 	 43.995 	 55.16 	
969 	 395 	 -565 	 213.64 	 41.755 	 56.07 	
954 	 364 	 -546 	 206.885 	 39.515 	 57.785 	
955 	 321 	 -526 	 199.675 	 36.295 	 58.555 	
976 	 272 	 -508 	 192.22 	 32.655 	 57.26 	
976 	 240 	 -480 	 184.415 	 29.575 	 53.585 	
949 	 252 	 -432 	 176.365 	 26.6 	 48.58 	
913 	 257 	 -376 	 167.685 	 23.205 	 45.045 	
876 	 229 	 -374 	 158.795 	 19.18 	 44.625 	
845 	 225 	 -380 	 150.5 	 15.4 	 47.88 	
825 	 216 	 -372 	 142.625 	 11.235 	 54.285 	
832 	 182 	 -384 	 134.47 	 6.405 	 61.215 	
855 	 131 	 -397 	 126.315 	 1.96 	 66.955 	
864 	 64 	 -396 	 118.09 	 -1.54 	 70.07 	
854 	 15 	 -399 	 110.32 	 -4.655 	 69.965 	
851 	 -19 	 -412 	 103.04 	 -8.015 	 66.71 	
858 	 -56 	 -422 	 96.075 	 -11.13 	 61.005 	
848 	 -100 	 -427 	 89.46 	 -13.51 	 53.235 	
825 	 -137 	 -426 	 83.3 	 -15.575 	 44.065 	
817 	 -168 	 -428 	 77.49 	 -17.64 	 34.055 	
818 	 -202 	 -439 	 72.17 	 -19.6 	 23.52 	
823 	 -237 	 -452 	 67.585 	 -21.21 	 12.845 	
820 	 -264 	 -458 	 63.7 	 -22.575 	 1.82 	
821 	 -280 	 -468 	 59.99 	 -23.835 	 -9.275 	
815 	 -305 	 -470 	 56.63 	 -24.92 	 -20.265 	
812 	 -318 	 -476 	 53.935 	 -25.9 	 -30.905 	
793 	 -282 	 -467 	 51.8 	 -26.53 	 -40.74 	
786 	 -274 	 -453 	 49.455 	 -27.3 	 -48.93 	
773 	 -294 	 -453 	 47.425 	 -28.14 	 -54.985 	
759 	 -297 	 -465 	 46.06 	 -28.665 	 -59.185 	
737 	 -288 	 -484 	 45.045 	 -29.26 	 -61.74 	
749 	 -288 	 -509 	 43.89 	 -30.03 	 -63.42 	
770 	 -306 	 -535 	 43.015 	 -30.66 	 -65.205 	
792 	 -310 	 -548 	 42.945 	 -30.835 	 -67.41 	
775 	 -315 	 -538 	 43.05 	 -30.625 	 -70.105 	
739 	 -335 	 -535 	 42.84 	 -30.31 	 -72.8 	
701 	 -392 	 -534 	 42.63 	 -30.135 	 -75.285 	
662 	 -425 	 -548 	 43.505 	 -30.24 	 -78.225 	
657 	 -416 	 -565 	 45.01 	 -30.59 	 -81.375 	
643 	 -423 	 -583 	 46.06 	 -30.38 	 -84.42 	
603 	 -466 	 -585 	 47.145 	 -29.855 	 -87.325 	
550 	 -508 	 -584 	 49.14 	 -29.715 	 -90.055 	
503 	 -525 	 -593 	 51.485 	 -30.03 	 -92.785 	
439 	 -548 	 -609 	 53.83 	 -30.205 	 -94.5 	
334 	 -574 	 -613 	 56.385 	 -30.31 	 -94.99 	
220 	 -579 	 -599 	 59.57 	 -31.185 	 -93.625 	
88 	 -582 	 -554 	 62.825 	 -32.13 	 -89.67 	
-40 	 -616 	 -447 	 65.905 	 -33.075 	 -82.95 	
-150 	 -603 	 -332 	 69.09 	 -34.72 	 -74.515 	
-341 	 -697 	 -181 	 70.805 	 -36.61 	 -64.19 	
-462 	 -910 	 -94 	 71.82 	 -39.55 	 -54.075 	
-405 	 -935 	 -46 	 73.36 	 -42.805 	 -46.655 	
-142 	 -867 	 133 	 72.485 	 -43.68 	 -40.005 	
336 	 -886 	 252 	 66.5 	 -41.23 	 -33.425 	
840 	 -689 	 223 	 56.07 	 -34.195 	 -28.455 	
1199 	 -457 	 147 	 39.795 	 -21.42 	 -21.525 	
1581 	 99 	 61 	 15.96 	 -5.53 	 -8.365 	
2278 	 421 	 -113 	 -15.995 	 12.04 	 18.725 	
3040 	 1044 	 -382 	 -49.595 	 34.055 	 56.56 	
3585 	 1845 	 -549 	 -89.25 	 67.025 	 107.94 	
4408 	 2270 	 -961 	 -139.86 	 101.78 	 156.135 	
5079 	 2110 	 -1341 	 -194.075 	 142.03 	 184.31 	
5182 	 1664 	 -1565 	 -247.31 	 187.635 	 179.725 	
4721 	 1430 	 -1475 	 -298.97 	 231.875 	 146.23 	
3938 	 1455 	 -1331 	 -351.645 	 267.995 	 104.685 	
3029 	 1567 	 -1249 	 -405.055 	 298.2 	 74.06 	
1769 	 1465 	 -1016 	 -453.705 	 322.0 	 62.335 	
490 	 1116 	 -759 	 -492.52 	 327.11 	 58.695 	
-275 	 897 	 -390 	 -523.005 	 313.145 	 47.6 	
-906 	 635 	 17 	 -549.78 	 290.85 	 25.095 	
-1551 	 126 	 373 	 -567.21 	 261.31 	 -1.995 	
-2177 	 -163 	 653 	 -568.995 	 217.875 	 -33.88 	
-2135 	 -508 	 749 	 -559.3 	 157.99 	 -67.725 	
-1783 	 -884 	 899 	 -540.89 	 94.43 	 -107.73 	
-1394 	 -1224 	 875 	 -514.15 	 35.07 	 -149.415 	
-1087 	 -1290 	 646 	 -480.41 	 -17.08 	 -193.97 	
-841 	 -1121 	 394 	 -441.21 	 -62.825 	 -227.395 	
-487 	 -1008 	 225 	 -396.795 	 -105.35 	 -240.555 	
-96 	 -708 	 42 	 -345.87 	 -144.725 	 -229.6 	
482 	 -853 	 -185 	 -291.935 	 -176.715 	 -199.15 	
809 	 -635 	 -398 	 -233.065 	 -199.71 	 -172.515 	
1127 	 -413 	 -602 	 -174.93 	 -216.16 	 -134.855 	
1541 	 -183 	 -772 	 -122.745 	 -224.49 	 -99.995 	
1846 	 -134 	 -909 	 -76.895 	 -221.865 	 -67.585 	
1883 	 -183 	 -1008 	 -32.55 	 -211.12 	 -40.6 	
1829 	 -17 	 -1120 	 11.2 	 -197.82 	 -20.09 	
1879 	 227 	 -1216 	 48.405 	 -181.685 	 -3.045 	
1800 	 305 	 -1204 	 78.365 	 -160.44 	 12.11 	
1657 	 233 	 -1210 	 106.54 	 -138.46 	 26.565 	
1588 	 398 	 -1244 	 134.05 	 -117.88 	 36.995 	
1520 	 493 	 -1203 	 156.38 	 -96.53 	 47.32 	
1371 	 492 	 -1140 	 174.335 	 -75.005 	 57.015 	
1233 	 472 	 -1073 	 191.065 	 -55.37 	 66.78 	
1135 	 508 	 -1018 	 207.025 	 -38.29 	 77.105 	
1066 	 548 	 -953 	 220.36 	 -22.96 	 87.255 	
1008 	 522 	 -866 	 230.93 	 -9.625 	 95.935 	
973 	 467 	 -800 	 239.785 	 1.82 	 100.94 	
946 	 462 	 -743 	 247.94 	 11.585 	 100.905 	
914 	 513 	 -657 	 254.17 	 20.09 	 95.585 	
890 	 504 	 -611 	 257.495 	 27.125 	 85.925 	
870 	 438 	 -620 	 259.315 	 31.815 	 73.605 	
913 	 437 	 -625 	 260.715 	 34.51 	 60.83 	
963 	 514 	 -631 	 260.75 	 36.82 	 51.555 	
926 	 569 	 -621 	 258.475 	 39.375 	 48.825 	
862 	 579 	 -613 	 254.8 	 40.075 	 52.15 	
869 	 580 	 -620 	 250.635 	 38.465 	 59.605 	
898 	 594 	 -622 	 245.7 	 36.365 	 68.425 	
876 	 567 	 -599 	 238.945 	 34.475 	 75.95 	
835 	 491 	 -558 	 231.14 	 31.815 	 80.045 	
838 	 404 	 -543 	 223.615 	 27.755 	 79.38 	
860 	 346 	 -534 	 215.95 	 23.73 	 73.885 	
853 	 306 	 -499 	 207.865 	 20.545 	 64.68 	
806 	 244 	 -457 	 199.465 	 17.325 	 53.34 	
769 	 202 	 -431 	 191.66 	 13.23 	 41.055 	
756 	 199 	 -412 	 184.1 	 8.995 	 28.875 	
709 	 228 	 -364 	 176.61 	 5.285 	 18.2 	
645 	 246 	 -302 	 168.525 	 1.435 	 9.87 	
614 	 188 	 -271 	 160.265 	 -3.15 	 4.095 	
618 	 123 	 -287 	 153.3 	 -7.805 	 -0.14 	
662 	 89 	 -309 	 146.79 	 -12.075 	 -3.885 	
726 	 52 	 -316 	 140.245 	 -16.1 	 -8.085 	
783 	 1 	 -323 	 133.245 	 -19.46 	 -13.44 	
825 	 -58 	 -340 	 126.525 	 -22.26 	 -20.265 	
854 	 -96 	 -355 	 120.295 	 -24.185 	 -28.21 	
865 	 -93 	 -368 	 114.345 	 -25.585 	 -36.54 	
869 	 -108 	 -371 	 107.835 	 -26.775 	 -44.73 	
890 	 -129 	 -377 	 101.465 	 -27.755 	 -52.29 	
