STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
49 	 -218 	 -993 	-13.545 	 -25.55 	 -12.53 	
38 	 -201 	 -1002 	-12.46 	 -26.46 	 -10.395 	
36 	 -218 	 -1009 	-11.585 	 -27.44 	 -8.015 	
50 	 -243 	 -1019 	-10.325 	 -28.385 	 -5.81 	
67 	 -260 	 -1037 	-8.54 	 -29.05 	 -4.305 	
94 	 -267 	 -1048 	-6.895 	 -29.225 	 -3.745 	
125 	 -287 	 -1052 	-5.145 	 -29.155 	 -4.375 	
151 	 -308 	 -1064 	-3.15 	 -28.91 	 -6.44 	
149 	 -302 	 -1081 	-1.085 	 -28.56 	 -9.73 	
142 	 -288 	 -1094 	1.015 	 -28.07 	 -13.895 	
136 	 -268 	 -1111 	3.115 	 -27.405 	 -18.27 	
112 	 -248 	 -1126 	5.285 	 -26.39 	 -22.085 	
81 	 -224 	 -1136 	7.595 	 -25.515 	 -25.025 	
68 	 -214 	 -1133 	9.765 	 -24.99 	 -26.705 	
68 	 -219 	 -1129 	11.795 	 -24.535 	 -26.95 	
70 	 -228 	 -1133 	14.14 	 -24.01 	 -25.655 	
61 	 -222 	 -1130 	16.73 	 -23.38 	 -22.855 	
30 	 -211 	 -1105 	19.32 	 -22.47 	 -18.13 	
21 	 -219 	 -1098 	21.735 	 -21.945 	 -12.285 	
15 	 -234 	 -1102 	24.01 	 -22.155 	 -5.355 	
67 	 -274 	 -1115 	26.425 	 -22.435 	 0.7 	
92 	 -271 	 -1121 	29.54 	 -21.28 	 5.95 	
53 	 -239 	 -1126 	31.99 	 -19.74 	 9.485 	
48 	 -261 	 -1122 	33.705 	 -19.32 	 11.585 	
91 	 -309 	 -1121 	35.525 	 -19.11 	 11.795 	
112 	 -321 	 -1123 	37.975 	 -17.78 	 10.29 	
63 	 -284 	 -1107 	40.285 	 -16.135 	 7.385 	
45 	 -284 	 -1084 	41.72 	 -15.295 	 3.745 	
65 	 -321 	 -1067 	42.84 	 -15.015 	 -0.35 	
82 	 -337 	 -1071 	44.555 	 -14.07 	 -5.005 	
65 	 -313 	 -1076 	46.235 	 -12.74 	 -9.59 	
50 	 -297 	 -1071 	47.005 	 -11.9 	 -14.245 	
69 	 -324 	 -1067 	47.495 	 -11.41 	 -18.55 	
61 	 -326 	 -1059 	48.44 	 -10.29 	 -22.855 	
10 	 -335 	 -1030 	49.14 	 -9.17 	 -26.705 	
-48 	 -365 	 -986 	49.315 	 -9.03 	 -29.96 	
-73 	 -488 	 -847 	50.295 	 -9.03 	 -30.905 	
-74 	 -345 	 -912 	51.695 	 -9.765 	 -35.035 	
-63 	 -354 	 -924 	51.415 	 -9.24 	 -34.615 	
-88 	 -341 	 -931 	50.505 	 -9.905 	 -38.08 	
17 	 -279 	 -903 	50.575 	 -10.08 	 -37.52 	
48 	 -327 	 -839 	50.225 	 -9.205 	 -37.205 	
-91 	 -325 	 -838 	51.205 	 -10.535 	 -42.035 	
26 	 -289 	 -844 	51.1 	 -12.67 	 -37.065 	
91 	 -234 	 -851 	50.295 	 -12.355 	 -31.885 	
84 	 -350 	 -825 	49.525 	 -10.22 	 -20.65 	
-29 	 -329 	 -825 	49.7 	 -12.04 	 -14.63 	
122 	 -367 	 -881 	49.945 	 -15.365 	 -3.955 	
225 	 -340 	 -944 	49.735 	 -15.575 	 5.425 	
113 	 -282 	 -945 	49.98 	 -13.23 	 15.715 	
-66 	 -118 	 -962 	49.77 	 -13.755 	 23.275 	
-101 	 100 	 -1033 	47.88 	 -16.765 	 28.595 	
-79 	 268 	 -1082 	44.765 	 -18.025 	 32.83 	
-152 	 327 	 -1056 	41.195 	 -17.605 	 36.085 	
-137 	 305 	 -1040 	37.03 	 -18.76 	 38.22 	
-17 	 114 	 -1017 	30.8 	 -20.51 	 39.27 	
100 	 -134 	 -1019 	26.04 	 -20.685 	 38.535 	
164 	 -263 	 -1025 	23.765 	 -19.215 	 36.05 	
218 	 -233 	 -1045 	21.63 	 -18.27 	 30.345 	
302 	 -188 	 -1071 	18.48 	 -17.745 	 22.12 	
368 	 -102 	 -1096 	15.295 	 -15.68 	 11.41 	
333 	 14 	 -1103 	11.62 	 -12.25 	 0.28 	
229 	 50 	 -1083 	6.615 	 -9.38 	 -8.68 	
