STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-123 	 20 	 -1044 	31.08 	 -5.635 	 -2.975 	
-123 	 16 	 -1040 	30.345 	 -5.39 	 -2.31 	
-123 	 -1 	 -1032 	29.68 	 -5.25 	 -1.89 	
-119 	 -21 	 -1028 	29.085 	 -5.04 	 -1.75 	
-112 	 -37 	 -1028 	28.665 	 -4.83 	 -1.89 	
-111 	 -52 	 -1030 	28.245 	 -4.55 	 -2.345 	
-112 	 -61 	 -1034 	27.86 	 -4.165 	 -2.94 	
-108 	 -71 	 -1033 	27.58 	 -3.78 	 -3.71 	
-106 	 -76 	 -1030 	27.44 	 -3.465 	 -4.585 	
-107 	 -78 	 -1030 	27.16 	 -2.905 	 -5.46 	
-111 	 -79 	 -1027 	27.055 	 -2.625 	 -6.055 	
-113 	 -81 	 -1021 	26.775 	 -2.24 	 -6.51 	
-114 	 -79 	 -1017 	26.74 	 -2.03 	 -6.72 	
-125 	 -69 	 -1019 	26.6 	 -1.785 	 -6.545 	
-135 	 -61 	 -1024 	26.46 	 -1.47 	 -6.055 	
-140 	 -60 	 -1024 	26.25 	 -1.295 	 -5.355 	
-137 	 -67 	 -1016 	26.18 	 -1.26 	 -4.55 	
-128 	 -88 	 -1005 	26.11 	 -1.19 	 -3.78 	
-123 	 -107 	 -1001 	26.11 	 -0.945 	 -3.15 	
-123 	 -118 	 -1002 	26.285 	 -0.84 	 -2.835 	
-109 	 -137 	 -1001 	26.495 	 -0.84 	 -2.905 	
-97 	 -151 	 -1001 	26.775 	 -0.56 	 -3.22 	
-104 	 -155 	 -1003 	27.195 	 -0.175 	 -3.815 	
-111 	 -153 	 -1012 	27.685 	 -0.035 	 -4.515 	
-112 	 -152 	 -1019 	28.105 	 0 	 -5.18 	
-118 	 -149 	 -1020 	28.595 	 0.245 	 -5.635 	
-133 	 -149 	 -1022 	29.05 	 0.525 	 -5.81 	
-151 	 -149 	 -1025 	29.54 	 0.455 	 -5.635 	
-155 	 -156 	 -1023 	29.995 	 0.245 	 -5.005 	
-163 	 -167 	 -1018 	30.415 	 0.14 	 -4.095 	
-171 	 -170 	 -1017 	31.045 	 -0.07 	 -3.15 	
-172 	 -168 	 -1017 	31.745 	 -0.595 	 -2.205 	
-174 	 -171 	 -1016 	32.235 	 -0.875 	 -1.225 	
-170 	 -185 	 -1014 	32.865 	 -1.26 	 -0.42 	
-162 	 -201 	 -1010 	33.6 	 -1.61 	 0.28 	
-156 	 -209 	 -1011 	34.3 	 -1.75 	 0.77 	
-158 	 -218 	 -1011 	35 	 -1.96 	 1.05 	
-157 	 -217 	 -1016 	35.805 	 -2.31 	 1.12 	
-147 	 -216 	 -1023 	36.575 	 -2.59 	 0.875 	
-140 	 -212 	 -1026 	37.38 	 -2.695 	 0.42 	
-143 	 -216 	 -1019 	38.01 	 -2.59 	 -0.175 	
-136 	 -225 	 -1010 	38.71 	 -2.695 	 -1.015 	
-128 	 -226 	 -1010 	39.375 	 -2.695 	 -1.995 	
-118 	 -223 	 -1013 	40.145 	 -2.59 	 -2.975 	
-109 	 -233 	 -1006 	40.635 	 -2.31 	 -3.885 	
-106 	 -239 	 -996 	41.16 	 -2.1 	 -4.795 	
-101 	 -237 	 -994 	41.895 	 -1.995 	 -5.565 	
-91 	 -227 	 -996 	42.385 	 -1.82 	 -6.23 	
-91 	 -212 	 -998 	42.77 	 -1.435 	 -6.545 	
-98 	 -202 	 -1006 	43.19 	 -1.12 	 -6.545 	
-108 	 -189 	 -1013 	43.645 	 -0.875 	 -6.3 	
-112 	 -181 	 -1016 	43.995 	 -0.735 	 -5.74 	
-113 	 -188 	 -1013 	44.065 	 -0.525 	 -5.005 	
-113 	 -205 	 -1003 	44.275 	 -0.35 	 -4.235 	
-114 	 -224 	 -997 	44.415 	 -0.315 	 -3.64 	
-106 	 -243 	 -998 	44.8 	 -0.315 	 -3.395 	
-99 	 -261 	 -997 	45.15 	 -0.07 	 -3.5 	
-97 	 -273 	 -996 	45.57 	 0.175 	 -3.885 	
-89 	 -279 	 -996 	46.235 	 0.175 	 -4.69 	
-87 	 -276 	 -999 	46.865 	 0.21 	 -5.67 	
-83 	 -275 	 -1000 	47.215 	 0.49 	 -6.685 	
-84 	 -276 	 -999 	47.705 	 0.385 	 -7.7 	
-84 	 -274 	 -1001 	48.16 	 0.42 	 -8.61 	
-87 	 -268 	 -1004 	48.65 	 0.315 	 -9.31 	
-81 	 -258 	 -1016 	48.93 	 0.21 	 -10.115 	
-76 	 -246 	 -1022 	49.21 	 0.175 	 -10.675 	
-74 	 -234 	 -1029 	49.42 	 0.035 	 -11.2 	
-76 	 -224 	 -1038 	49.595 	 -0.105 	 -11.445 	
-77 	 -222 	 -1049 	49.875 	 -0.49 	 -11.375 	
-74 	 -224 	 -1055 	50.05 	 -0.595 	 -10.885 	
-76 	 -235 	 -1054 	50.12 	 -0.735 	 -10.22 	
-82 	 -250 	 -1055 	50.225 	 -1.12 	 -9.485 	
-76 	 -268 	 -1065 	50.61 	 -1.61 	 -8.855 	
-60 	 -273 	 -1081 	51.03 	 -1.82 	 -8.47 	
-63 	 -282 	 -1087 	51.415 	 -1.855 	 -8.33 	
-61 	 -294 	 -1092 	51.905 	 -2.17 	 -8.505 	
-51 	 -291 	 -1099 	52.675 	 -2.555 	 -8.925 	
-50 	 -284 	 -1102 	53.445 	 -2.765 	 -9.38 	
-51 	 -281 	 -1105 	53.935 	 -2.905 	 -9.66 	
-56 	 -279 	 -1107 	54.6 	 -3.29 	 -9.94 	
-53 	 -271 	 -1108 	55.44 	 -3.78 	 -10.115 	
-54 	 -267 	 -1108 	56.21 	 -4.095 	 -9.94 	
-68 	 -278 	 -1095 	56.875 	 -4.375 	 -9.52 	
-74 	 -296 	 -1087 	57.68 	 -5.11 	 -8.855 	
-77 	 -308 	 -1085 	58.975 	 -5.985 	 -8.12 	
-77 	 -318 	 -1079 	60.06 	 -6.51 	 -7.35 	
-79 	 -341 	 -1067 	61.145 	 -7.21 	 -6.65 	
-79 	 -372 	 -1052 	62.44 	 -7.945 	 -6.335 	
-66 	 -396 	 -1042 	63.875 	 -8.68 	 -6.475 	
-60 	 -409 	 -1033 	65.415 	 -9.52 	 -7.21 	
-46 	 -423 	 -1027 	66.92 	 -10.045 	 -8.575 	
-37 	 -432 	 -1023 	68.39 	 -10.5 	 -10.535 	
-30 	 -434 	 -1013 	70 	 -10.92 	 -12.95 	
-25 	 -434 	 -1005 	71.61 	 -11.34 	 -15.645 	
-16 	 -431 	 -997 	72.94 	 -11.585 	 -18.445 	
-15 	 -437 	 -990 	74.34 	 -11.865 	 -21.07 	
-22 	 -441 	 -978 	75.705 	 -12.11 	 -23.52 	
-22 	 -439 	 -974 	76.965 	 -12.39 	 -25.795 	
-20 	 -434 	 -972 	78.365 	 -12.635 	 -27.86 	
-23 	 -429 	 -963 	79.625 	 -12.67 	 -29.645 	
-42 	 -438 	 -947 	80.64 	 -12.81 	 -31.22 	
-42 	 -453 	 -940 	81.9 	 -13.3 	 -32.585 	
-38 	 -467 	 -931 	83.09 	 -13.615 	 -33.845 	
-44 	 -480 	 -919 	84.315 	 -13.72 	 -34.93 	
-54 	 -491 	 -909 	85.54 	 -14.07 	 -35.91 	
-56 	 -501 	 -900 	86.87 	 -14.455 	 -37.03 	
-55 	 -502 	 -895 	88.165 	 -14.665 	 -38.325 	
-59 	 -504 	 -884 	89.425 	 -14.805 	 -39.655 	
-74 	 -509 	 -870 	90.545 	 -15.085 	 -41.23 	
-72 	 -515 	 -859 	91.735 	 -15.54 	 -42.84 	
-68 	 -516 	 -852 	92.855 	 -15.855 	 -44.485 	
-72 	 -515 	 -840 	93.975 	 -16.065 	 -45.815 	
-79 	 -520 	 -834 	94.885 	 -16.31 	 -46.725 	
-82 	 -523 	 -826 	95.935 	 -16.695 	 -47.215 	
-79 	 -524 	 -817 	96.985 	 -17.045 	 -47.32 	
-80 	 -527 	 -807 	97.755 	 -17.255 	 -46.935 	
-79 	 -529 	 -803 	98.455 	 -17.57 	 -46.41 	
-81 	 -526 	 -789 	99.295 	 -17.85 	 -45.535 	
-91 	 -521 	 -769 	99.96 	 -17.885 	 -44.345 	
-104 	 -521 	 -745 	100.52 	 -18.2 	 -42.805 	
-115 	 -527 	 -706 	100.94 	 -18.515 	 -40.915 	
-139 	 -534 	 -650 	101.08 	 -18.83 	 -38.57 	
-176 	 -537 	 -578 	101.045 	 -19.075 	 -35.595 	
-276 	 -574 	 -449 	100.415 	 -19.25 	 -31.78 	
-417 	 -621 	 -300 	99.54 	 -20.23 	 -27.09 	
-570 	 -655 	 -148 	98 	 -21.98 	 -21.91 	
-706 	 -665 	 50 	95.655 	 -24.08 	 -16.345 	
-858 	 -639 	 327 	91.84 	 -27.055 	 -10.92 	
-822 	 -573 	 572 	87.255 	 -28.105 	 -2.275 	
-915 	 -815 	 928 	73.71 	 -32.655 	 6.44 	
-1077 	 -1014 	 1219 	61.32 	 -37.45 	 14.595 	
-994 	 -1060 	 1348 	45.675 	 -44.625 	 20.825 	
-778 	 -955 	 1310 	23.905 	 -51.415 	 22.19 	
-599 	 -809 	 1233 	-4.655 	 -53.41 	 21.245 	
-607 	 -681 	 1156 	-40.32 	 -53.515 	 19.495 	
-782 	 -273 	 1039 	-81.62 	 -55.79 	 15.505 	
-750 	 316 	 802 	-130.305 	 -63.42 	 12.04 	
-629 	 925 	 351 	-185.15 	 -65.31 	 14.56 	
-500 	 1373 	 -173 	-247.73 	 -62.79 	 25.375 	
-419 	 1736 	 -717 	-314.265 	 -59.99 	 43.715 	
-207 	 2108 	 -1323 	-382.935 	 -58.415 	 68.425 	
93 	 2460 	 -1932 	-452.34 	 -55.125 	 95.97 	
324 	 2582 	 -2563 	-519.645 	 -46.9 	 123.83 	
474 	 2629 	 -3059 	-581.21 	 -33.285 	 147.63 	
613 	 2591 	 -3493 	-636.545 	 -17.64 	 165.025 	
822 	 2211 	 -3836 	-683.795 	 -0.42 	 176.225 	
1159 	 1405 	 -3989 	-717.15 	 19.46 	 179.865 	
1326 	 900 	 -3911 	-731.745 	 42.245 	 172.025 	
1399 	 410 	 -3670 	-733.6 	 63.7 	 156.73 	
1386 	 -101 	 -3357 	-721.84 	 81.13 	 137.655 	
1444 	 -804 	 -2854 	-691.81 	 96.635 	 120.785 	
1271 	 -1281 	 -2270 	-639.31 	 111.16 	 110.005 	
1074 	 -1586 	 -1738 	-574.98 	 120.19 	 112 	
1084 	 -1805 	 -1316 	-504.595 	 121.87 	 120.855 	
1127 	 -2126 	 -810 	-423.92 	 124.005 	 135.45 	
954 	 -2109 	 -488 	-328.125 	 125.965 	 148.61 	
651 	 -1821 	 -82 	-226.17 	 123.83 	 158.935 	
477 	 -1477 	 -119 	-130.795 	 113.925 	 162.75 	
339 	 -1434 	 -249 	-37.94 	 101.465 	 166.495 	
262 	 -989 	 -587 	55.125 	 85.645 	 165.83 	
201 	 -411 	 -957 	135.345 	 70.385 	 162.715 	
-243 	 -92 	 -1133 	199.43 	 56.35 	 159.46 	
-707 	 -32 	 -1316 	254.1 	 35.98 	 156.31 	
-756 	 151 	 -1606 	299.53 	 11.34 	 139.685 	
-742 	 280 	 -1940 	331.905 	 -7.385 	 114.975 	
-915 	 263 	 -2099 	354.445 	 -21.105 	 86.485 	
-1057 	 312 	 -2155 	369.46 	 -37.415 	 52.78 	
-1042 	 478 	 -2186 	377.055 	 -54.425 	 19.845 	
-1048 	 579 	 -2148 	376.95 	 -66.43 	 -6.755 	
-1106 	 471 	 -2093 	371.175 	 -74.55 	 -26.6 	
-1123 	 369 	 -2031 	364.315 	 -82.845 	 -42.77 	
-947 	 404 	 -1986 	355.635 	 -92.085 	 -58.345 	
-729 	 400 	 -1890 	343.49 	 -98.14 	 -72.38 	
-626 	 1421 	 -1890 	327.845 	 -100.275 	 -84.035 	
36 	 -419 	 -1480 	290.29 	 -89.705 	 -8.89 	
