@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_VAR_on_ACC_X numeric
@attribute F8_VAR_on_ACC_Y numeric
@attribute F9_VAR_on_ACC_Z numeric
@attribute F10_VAR_on_GY_X numeric
@attribute F11_VAR_on_GY_Y numeric
@attribute F12_VAR_on_GY_Z numeric
@attribute F13_PositiveZeroCross_on_ACC_X numeric
@attribute F14_PositiveZeroCross_on_ACC_Y numeric
@attribute F15_PositiveZeroCross_on_ACC_Z numeric
@attribute F16_PositiveZeroCross_on_GY_X numeric
@attribute F17_PositiveZeroCross_on_GY_Y numeric
@attribute F18_PositiveZeroCross_on_GY_Z numeric
@attribute F19_NegativeZeroCross_on_ACC_X numeric
@attribute F20_NegativeZeroCross_on_ACC_Y numeric
@attribute F21_NegativeZeroCross_on_ACC_Z numeric
@attribute F22_NegativeZeroCross_on_GY_X numeric
@attribute F23_NegativeZeroCross_on_GY_Y numeric
@attribute F24_NegativeZeroCross_on_GY_Z numeric
@attribute class {down, left, up, stand}

@data
-0.974609, -0.632813, 0.881348, -0.720215, 0.195435, 0.578125, 0.809082, 0.919922, 11.0313, 62.8438, 6.14453, 2.82617, 4, 4, 2, 2, 4, 4, 4, 4, 2, 2, 6, 4, down
-0.864746, -1.26465, -1.17773, 1.21289, 0.636719, -1.06543, 0.286621, 1.47266, 1.37305, 2.68164, 2.2793, 2.49805, 4, 0, 0, 0, 2, 2, 4, 2, 0, 2, 2, 0, down
-0.729492, -0.355957, 1.0625, -0.61084, -0.733887, 0.844238, 0.248047, 0.77832, 9.14844, 88.25, 5.9375, 1.94727, 6, 4, 4, 2, 4, 0, 8, 2, 2, 2, 4, 2, down
-1.0918, -1.23145, -1.26758, -1.75586, -0.63623, -0.0998535, 0.488281, 3.04297, 2.39844, 33.7813, 7.85156, 3.26758, 4, 2, 0, 0, 4, 2, 4, 0, 0, 2, 4, 0, down
-0.400391, -0.657227, 1.28027, 1.58496, 0.652344, 0.470703, 0.402344, 0.945313, 10.3359, 76.75, 2.3418, 4.99609, 4, 2, 2, 2, 4, 0, 4, 2, 2, 0, 2, 2, down
-0.985352, -1.16504, -1.21777, -3.20898, -0.554199, 0.943848, 0.512695, 2.30469, 3.61914, 51.4063, 7.07422, 4.15234, 6, 2, 2, 2, 4, 2, 4, 4, 0, 2, 4, 0, down
-0.305908, -0.564941, 0.827637, 2.68359, -0.085022, -0.906738, 0.958984, 0.818848, 9.32813, 41.5625, 2.88477, 12.9531, 2, 2, 2, 2, 2, 0, 4, 0, 2, 0, 4, 2, down
-1.17773, -0.809082, -1.2334, -2.69336, -0.791504, 1.41699, 0.623047, 2.64258, 3.36523, 53.0625, 7.6875, 6.07813, 4, 2, 2, 2, 2, 2, 4, 4, 0, 2, 2, 0, down
-0.124084, -0.595215, 0.812012, 2.65234, -0.376221, -1.61914, 1.75879, 0.624023, 6.81641, 30.0313, 3.84766, 28.4063, 0, 2, 2, 2, 2, 0, 2, 0, 2, 0, 0, 2, down
-1.15625, -0.973145, -1.31348, -1.94922, -0.736328, 0.721191, 0.536133, 2.37695, 2.9707, 45.9688, 5.03516, 2.16602, 2, 2, 2, 0, 4, 2, 2, 4, 0, 0, 4, 0, down
-0.484619, -0.655762, 1.1875, 2.2168, -0.693359, -0.0594788, 0.527344, 0.463623, 10.6172, 51.3438, 2.52148, 7.05078, 2, 2, 2, 2, 2, 0, 4, 0, 2, 0, 4, 2, down
-1.25684, -0.917969, -1.18359, -2.2832, 0.074585, 0.283936, 0.170898, 2.25977, 3.85742, 44.25, 3.26172, 0.930176, 2, 2, 2, 2, 2, 2, 0, 4, 0, 2, 2, 0, down
-0.443115, -0.611328, 1.19824, 2.49219, -0.404541, -0.553223, 0.494141, 0.327881, 11.1328, 54.0625, 1.37793, 6.82031, 0, 2, 2, 2, 4, 0, 2, 2, 2, 0, 4, 2, down
-1.26367, -1.09375, -1.40918, -1.97266, -0.240601, 0.367432, 0.31543, 2.42773, 3.02734, 41.25, 5.375, 0.85791, 2, 2, 0, 0, 4, 2, 2, 2, 0, 0, 4, 0, down
-0.28125, -0.705078, 1.4502, 1.8291, -0.708984, -0.29126, 0.796387, 0.75293, 11.2031, 72.9375, 1.55859, 11.625, 2, 2, 2, 2, 6, 0, 4, 2, 2, 0, 6, 2, down
-1.09473, -1.22852, -1.38184, 0.611816, -0.00461578, -0.035675, 0.167969, 2.69922, 2.5957, 9.5625, 2.69141, 1.08301, 2, 2, 0, 2, 2, 2, 2, 2, 0, 2, 2, 0, down
-0.4646, -0.51123, 1.45117, -0.323486, -0.497314, 0.512207, 0.662109, 0.579102, 11, 109.813, 4.09766, 6.65625, 2, 2, 4, 2, 8, 0, 2, 2, 2, 0, 8, 2, down
-1.12793, -1.12598, -1.43945, -0.714844, -0.813477, 0.0508728, 0.21582, 1.75, 2.23242, 16.5625, 4.69922, 3.11719, 2, 2, 0, 0, 4, 2, 2, 2, 0, 2, 6, 0, down
-0.532227, -0.586914, 1.45703, 0.307617, 0.181641, 0.491455, 0.506836, 1.19141, 9.45313, 98.8125, 4.53906, 3.52734, 6, 2, 2, 2, 6, 0, 4, 2, 2, 0, 4, 2, down
