STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-94 	 -3304 	 -3602 	 88.34 	 211.085 	 -13.825 	
-372 	 -2880 	 -3802 	 73.675 	 297.43 	 -9.1 	
-1179 	 -2707 	 -3883 	 48.58 	 367.115 	 -3.255 	
-2035 	 -2582 	 -3350 	 5.355 	 390.145 	 3.325 	
-2339 	 -2420 	 -2735 	 -43.26 	 360.64 	 10.675 	
-2226 	 -2056 	 -2748 	 -92.75 	 288.05 	 9.765 	
-2246 	 -1675 	 -2752 	 -155.68 	 199.43 	 1.33 	
-1970 	 -1554 	 -2587 	 -228.62 	 114.73 	 -2.905 	
-1520 	 -1327 	 -2475 	 -301.35 	 51.625 	 -6.79 	
-1232 	 -1018 	 -2420 	 -378.49 	 10.78 	 -17.325 	
-1577 	 -670 	 -1861 	 -458.605 	 -13.79 	 -31.675 	
-2094 	 -181 	 -1077 	 -534.065 	 -37.31 	 -40.18 	
-2300 	 238 	 -362 	 -602.21 	 -59.185 	 -41.545 	
-2123 	 556 	 234 	 -664.475 	 -72.94 	 -40.565 	
-1999 	 770 	 1008 	 -718.13 	 -70.77 	 -39.9 	
-1965 	 711 	 1845 	 -754.53 	 -50.155 	 -34.195 	
-1762 	 469 	 2569 	 -771.505 	 -16.135 	 -20.055 	
-1495 	 47 	 3273 	 -772.695 	 21.245 	 -3.955 	
-1438 	 -465 	 4412 	 -753.585 	 52.465 	 8.925 	
-1880 	 -798 	 5483 	 -709.66 	 62.755 	 19.74 	
-2286 	 -811 	 6120 	 -643.79 	 40.635 	 44.45 	
-2082 	 -880 	 6466 	 -562.24 	 -7.175 	 80.22 	
-1612 	 -922 	 6694 	 -466.06 	 -63.455 	 113.575 	
-1279 	 -976 	 6697 	 -355.18 	 -116.62 	 141.61 	
-1200 	 -845 	 6254 	 -236.39 	 -160.475 	 165.13 	
-1134 	 -729 	 5962 	 -116.095 	 -188.86 	 189.245 	
-696 	 -810 	 5563 	 6.405 	 -202.51 	 209.02 	
-274 	 -725 	 4892 	 126.28 	 -196.0 	 215.425 	
-48 	 -669 	 4318 	 232.96 	 -170.17 	 211.89 	
62 	 -685 	 3877 	 325.955 	 -130.97 	 203.07 	
177 	 -570 	 3373 	 405.615 	 -88.83 	 189.385 	
131 	 -314 	 2846 	 469.42 	 -54.075 	 170.065 	
-30 	 -25 	 2378 	 515.2 	 -37.975 	 148.365 	
-161 	 197 	 1957 	 545.02 	 -36.785 	 127.54 	
-89 	 296 	 1399 	 561.61 	 -45.535 	 108.255 	
132 	 327 	 708 	 564.095 	 -56.735 	 86.31 	
205 	 260 	 54 	 553.175 	 -63.0 	 59.22 	
139 	 185 	 -572 	 532.455 	 -58.8 	 30.38 	
120 	 164 	 -1134 	 504.07 	 -43.12 	 3.675 	
165 	 98 	 -1337 	 470.61 	 -16.94 	 -21.035 	
173 	 18 	 -1412 	 438.515 	 12.04 	 -45.15 	
-61 	 -25 	 -1503 	 406.385 	 34.37 	 -68.145 	
-370 	 -87 	 -1507 	 371.875 	 40.53 	 -86.45 	
-533 	 -199 	 -1418 	 336.805 	 29.785 	 -99.925 	
-508 	 -312 	 -1422 	 303.87 	 10.85 	 -111.475 	
-431 	 -386 	 -1529 	 271.775 	 -4.62 	 -123.375 	
-409 	 -443 	 -1535 	 240.345 	 -9.695 	 -134.295 	
-462 	 -470 	 -1416 	 212.065 	 -4.83 	 -142.94 	
-578 	 -464 	 -1321 	 187.985 	 4.935 	 -149.345 	
-691 	 -468 	 -1249 	 166.215 	 14.21 	 -153.65 	
-752 	 -490 	 -1141 	 145.915 	 20.51 	 -156.17 	
-793 	 -515 	 -1000 	 128.03 	 24.57 	 -157.71 	
-844 	 -508 	 -898 	 113.295 	 27.16 	 -158.13 	
-898 	 -510 	 -833 	 100.66 	 28.735 	 -157.045 	
-927 	 -537 	 -752 	 89.81 	 29.015 	 -154.77 	
-945 	 -561 	 -656 	 80.815 	 28.385 	 -152.285 	
-980 	 -558 	 -581 	 73.99 	 26.985 	 -149.45 	
-1012 	 -538 	 -521 	 68.915 	 25.41 	 -145.6 	
-1026 	 -535 	 -461 	 65.24 	 23.94 	 -141.155 	
-1035 	 -546 	 -425 	 62.93 	 23.065 	 -136.675 	
-1046 	 -557 	 -393 	 61.705 	 22.26 	 -132.055 	
-1052 	 -577 	 -355 	 61.215 	 21.49 	 -127.12 	
-1051 	 -593 	 -317 	 61.705 	 20.37 	 -122.15 	
-1074 	 -580 	 -275 	 63.245 	 19.18 	 -117.53 	
