STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
598 	 849 	 48 	-6.195 	 -10.99 	 -19.705 	
592 	 849 	 50 	-4.41 	 -11.48 	 -19.88 	
593 	 849 	 49 	-2.765 	 -12.04 	 -20.055 	
589 	 851 	 45 	-1.26 	 -12.67 	 -20.265 	
583 	 857 	 42 	0.14 	 -13.3 	 -20.405 	
579 	 862 	 36 	1.4 	 -13.895 	 -20.475 	
579 	 862 	 35 	2.555 	 -14.385 	 -20.475 	
576 	 859 	 31 	3.605 	 -14.77 	 -20.475 	
576 	 862 	 33 	4.62 	 -15.05 	 -20.44 	
574 	 863 	 29 	5.565 	 -14.945 	 -20.335 	
574 	 860 	 11 	6.44 	 -14.595 	 -20.265 	
574 	 852 	 3 	7.14 	 -13.79 	 -20.09 	
574 	 843 	 0 	7.805 	 -12.635 	 -20.02 	
568 	 836 	 -4 	8.505 	 -11.165 	 -19.915 	
562 	 834 	 -7 	9.065 	 -9.555 	 -19.705 	
559 	 834 	 -9 	9.66 	 -8.015 	 -19.46 	
555 	 834 	 -12 	10.29 	 -6.72 	 -19.285 	
548 	 832 	 -13 	10.85 	 -5.565 	 -19.215 	
541 	 829 	 -18 	11.235 	 -4.62 	 -18.935 	
541 	 827 	 -18 	11.585 	 -3.815 	 -18.585 	
538 	 827 	 -19 	11.935 	 -3.22 	 -18.41 	
533 	 829 	 -17 	12.285 	 -2.765 	 -18.13 	
533 	 829 	 -17 	12.39 	 -2.555 	 -17.71 	
533 	 828 	 -19 	12.425 	 -2.625 	 -17.255 	
532 	 832 	 -25 	12.53 	 -2.94 	 -16.835 	
526 	 831 	 -29 	12.6 	 -3.325 	 -16.45 	
527 	 832 	 -25 	12.53 	 -3.92 	 -15.89 	
528 	 833 	 -26 	12.495 	 -4.27 	 -15.26 	
530 	 833 	 -32 	12.39 	 -4.585 	 -14.77 	
524 	 833 	 -38 	12.215 	 -4.69 	 -14.175 	
524 	 827 	 -35 	11.83 	 -4.585 	 -13.615 	
524 	 825 	 -37 	11.62 	 -4.445 	 -12.985 	
522 	 826 	 -46 	11.27 	 -4.34 	 -12.39 	
520 	 826 	 -48 	10.85 	 -4.375 	 -11.76 	
518 	 827 	 -47 	10.43 	 -4.445 	 -11.025 	
517 	 831 	 -47 	10.08 	 -4.725 	 -10.36 	
517 	 833 	 -48 	9.555 	 -5.075 	 -9.66 	
517 	 833 	 -53 	8.995 	 -5.46 	 -8.96 	
517 	 836 	 -49 	8.54 	 -5.845 	 -8.26 	
516 	 841 	 -50 	7.945 	 -6.02 	 -7.56 	
520 	 843 	 -56 	7.28 	 -5.985 	 -6.79 	
522 	 842 	 -63 	6.72 	 -5.67 	 -6.02 	
524 	 841 	 -69 	6.195 	 -5.25 	 -5.355 	
526 	 846 	 -70 	5.46 	 -4.095 	 -4.69 	
528 	 841 	 -73 	5.04 	 -3.115 	 -4.025 	
524 	 838 	 -71 	4.305 	 -1.925 	 -3.325 	
521 	 833 	 -70 	3.78 	 -0.875 	 -2.625 	
514 	 831 	 -70 	3.36 	 -0.175 	 -2.065 	
510 	 829 	 -71 	2.695 	 0.245 	 -1.435 	
509 	 827 	 -66 	2.135 	 0.28 	 -0.805 	
505 	 826 	 -64 	1.785 	 -0.14 	 -0.28 	
508 	 825 	 -66 	1.19 	 -0.525 	 0.35 	
508 	 826 	 -66 	0.56 	 -1.12 	 0.875 	
509 	 827 	 -61 	0.035 	 -1.715 	 1.435 	
512 	 833 	 -63 	-0.385 	 -2.345 	 1.96 	
515 	 833 	 -64 	-0.98 	 -2.695 	 2.52 	
518 	 837 	 -64 	-1.54 	 -2.905 	 3.08 	
524 	 836 	 -63 	-2.1 	 -2.87 	 3.605 	
526 	 838 	 -68 	-2.695 	 -2.695 	 4.025 	
529 	 837 	 -67 	-3.185 	 -2.415 	 4.515 	
532 	 838 	 -63 	-3.675 	 -1.89 	 4.97 	
535 	 842 	 -58 	-4.165 	 -1.12 	 5.355 	
543 	 840 	 -61 	-4.445 	 -0.28 	 5.74 	
544 	 836 	 -64 	-4.76 	 0.595 	 6.09 	
547 	 828 	 -65 	-5.18 	 1.505 	 6.51 	
547 	 821 	 -62 	-5.32 	 2.275 	 6.86 	
545 	 815 	 -60 	-5.355 	 2.73 	 7.175 	
542 	 815 	 -57 	-5.32 	 2.94 	 7.49 	
540 	 815 	 -48 	-5.39 	 2.695 	 7.805 	
540 	 813 	 -43 	-5.285 	 2.065 	 8.05 	
541 	 813 	 -42 	-5.075 	 1.225 	 8.33 	
542 	 813 	 -42 	-4.97 	 0.21 	 8.61 	
546 	 815 	 -45 	-4.865 	 -0.63 	 8.89 	
554 	 814 	 -42 	-4.585 	 -1.225 	 9.17 	
557 	 816 	 -44 	-4.55 	 -1.54 	 9.415 	
563 	 817 	 -43 	-4.34 	 -1.715 	 9.73 	
567 	 826 	 -39 	-4.2 	 -1.645 	 10.045 	
571 	 834 	 -35 	-3.99 	 -1.435 	 10.29 	
573 	 838 	 -30 	-3.85 	 -1.12 	 10.535 	
582 	 836 	 -33 	-3.605 	 -0.84 	 10.885 	
585 	 834 	 -33 	-3.43 	 -0.28 	 11.2 	
586 	 833 	 -32 	-3.22 	 0.525 	 11.34 	
589 	 831 	 -31 	-2.94 	 1.435 	 11.55 	
590 	 830 	 -32 	-2.52 	 2.45 	 11.795 	
590 	 822 	 -36 	-2.17 	 3.43 	 11.83 	
588 	 818 	 -35 	-1.715 	 4.375 	 11.9 	
585 	 811 	 -31 	-1.295 	 5.18 	 11.935 	
580 	 809 	 -27 	-0.63 	 5.53 	 11.9 	
574 	 810 	 -22 	0.07 	 5.635 	 11.83 	
571 	 810 	 -19 	0.56 	 5.53 	 11.725 	
570 	 808 	 -16 	1.225 	 5.11 	 11.62 	
573 	 808 	 -20 	1.785 	 4.725 	 11.515 	
576 	 807 	 -20 	2.52 	 4.27 	 11.375 	
579 	 807 	 -22 	3.185 	 4.13 	 11.2 	
581 	 807 	 -24 	3.85 	 4.305 	 10.99 	
592 	 807 	 -27 	4.48 	 4.83 	 10.85 	
